;Predictions;True labels;MRE
0;0,02380606;0,01;1,380605973
1;0,009741544;0,01;0,025845621
2;0,011822354;0,01;0,182235405
3;0,010630677;0,01;0,063067745
4;0,024414802;0,01;1,441480197
5;0,016402189;0,01;0,640218869
6;-0,002316308;0,01;1,231630774
7;0,00480998;0,01;0,519002018
8;0,005170521;0,01;0,482947867
9;0,004847089;0,01;0,515291071
10;0,00353274;0,01;0,646726018
11;-0,012055714;0,01;2,205571368
12;0,018954789;0,01;0,895478927
13;-0,005404451;0,01;1,54044514
14;0,009761682;0,01;0,023831822
15;0,007731768;0,01;0,226823216
16;-0,008189907;0,01;1,81899073
17;0,039133824;0,01;2,913382441
18;0,050953567;0,01;4,095356703
19;0,003603551;0,01;0,639644893
20;0,003685225;0,01;0,631477473
21;0,013613491;0,01;0,361349132
22;-0,0098283;0,01;1,982830022
23;-0,018399231;0,01;2,839923114
24;-0,010636765;0,01;2,063676458
25;-0,00911022;0,01;1,911021978
26;-0,009460566;0,01;1,946056563
27;0,076166257;0,01;6,616625726
28;0,018089892;0,01;0,808989234
29;0,049205758;0,01;3,920575768
30;0,037165608;0,01;2,716560826
31;0,051710844;0,01;4,171084404
32;0,029105624;0,01;1,910562418
33;0,032619946;0,01;2,26199457
34;0,034354702;0,01;2,435470164
35;0,052652307;0,01;4,265230685
36;0,044816773;0,01;3,481677338
37;0,091147318;0,13;0,298866781
38;0,048199959;0,01;3,81999591
39;0,035851076;0,01;2,585107625
40;0,034975085;0,01;2,497508541
41;0,049293231;0,01;3,929323122
42;0,029785801;0,01;1,978580073
43;0,000290751;0,01;0,970924904
44;0,009021631;0,01;0,097836949
45;0,036231223;0,01;2,623122349
46;0,034976646;0,01;2,49766463
47;0,039108112;0,01;2,910811245
48;0,080559045;0,01;7,055904508
49;0,008735318;0,01;0,126468226
50;0,008735318;0,01;0,126468226
51;0,048159439;0,01;3,815943912
52;0,044528402;0,01;3,452840239
53;0,029588714;0,01;1,958871424
54;0,051829271;0,08;0,352134112
55;0,053124472;0,01;4,31244725
56;0,050885953;0,01;4,088595301
57;0,058804374;0,01;4,880437419
58;0,086652279;0,2;0,566738605
59;0,044674035;0,01;3,467403516
60;0,041015275;0,01;3,101527482
61;0,050501827;0,01;4,050182715
62;0,044902731;0,01;3,490273073
63;0,055372819;0,01;4,53728193
64;0,035352845;0,01;2,535284474
65;0,035657451;0,01;2,565745056
66;0,112147145;0,13;0,137329654
67;0,040406693;0,01;3,040669277
68;0,048297651;0,01;3,829765111
69;0,038275395;0,01;2,827539459
70;0,044999834;0,01;3,499983415
71;0,029734055;0,01;1,973405458
72;0,052923441;0,01;4,292344093
73;0,06671384;0,08;0,166077003
74;0,016915997;0,01;0,691599749
75;0,039696865;0,01;2,969686478
76;0,024871865;0,01;1,487186529
77;0,052055225;0,05;0,041104496
78;0,046064898;0,01;3,606489837
79;0,10402476;0,01;9,402476043
80;0,059815831;0,01;4,981583148
81;0,050847542;0,01;4,084754154
82;0,057391759;0,01;4,739175901
83;0,05848147;0,01;4,848146975
84;0,04421299;0,01;3,421298951
85;0,057140086;0,01;4,714008585
86;0,029348215;0,01;1,934821509
87;0,059108987;0,01;4,910898745
88;0,036543049;0,01;2,654304892
89;0,084275402;0,01;7,427540213
90;0,071646594;0,01;6,164659351
91;0,037227452;0,01;2,72274518
92;0,064146169;0,01;5,414616853
93;0,037088227;0,01;2,708822653
94;0,091564611;0,08;0,144557633
95;0,06837254;0,01;5,837254018
96;0,026474623;0,01;1,647462301
97;0,011706562;0,01;0,170656178
98;0,043855447;0,05;0,122891054
99;0,051348493;0,05;0,02696985
100;0,044361725;0,01;3,436172545
101;0,035103057;0,01;2,510305658
102;0,052908063;0,01;4,290806293
103;0,053805977;0,08;0,327425286
104;0,032205358;0,03;0,073511938
105;0,049654838;0,01;3,96548377
106;0,043225579;0,01;3,322557896
107;0,045273989;0,01;3,527398944
108;0,028090751;0,01;1,80907508
109;0,015060001;0,01;0,506000105
110;0,08240138;0,13;0,366143231
111;0,085788578;0,13;0,340087863
112;0,036865421;0,01;2,686542064
113;-0,013649811;0,01;2,364981104
114;-0,009325287;0,01;1,93252873
115;0,002753161;0,01;0,724683864
116;-0,012721379;0,01;2,272137929
117;-0,008700208;0,01;1,870020781
118;0,017906269;0,01;0,790626906
119;0,046160877;0,01;3,616087675
120;0,036971647;0,01;2,697164729
121;0,068478778;0,08;0,144015275
122;0,066906691;0,08;0,163666368
123;0,04163719;0,01;3,163718969
124;0,059183564;0,01;4,918356404
125;0,143103659;0,13;0,100797378
126;0,077031627;0,08;0,037104659
127;0,023061024;0,01;1,306102403
128;0,009696967;0,01;0,030303303
129;0,082927451;0,08;0,036593132
130;0,07836654;0,13;0,397180459
131;0,042199176;0,01;3,21991758
132;0,042256724;0,01;3,225672409
133;0,060640186;0,03;1,021339536
134;0,083666258;0,01;7,366625756
135;0,107339025;0,01;9,733902454
136;0,078628942;0,05;0,572578847
137;0,085410073;0,21;0,593285365
138;0,048594158;0,08;0,392573023
139;0,047016744;0,01;3,701674357
140;0,066782609;0,13;0,486287626
141;0,087981015;0,08;0,099762693
142;0,052223682;0,05;0,044473648
143;0,032709181;0,01;2,270918131
144;0,032390084;0,01;2,239008412
145;0,082757168;0,01;7,275716752
146;0,039354112;0,05;0,21291776
147;0,092993155;0,13;0,284668038
148;0,056620665;0,08;0,292241689
149;0,094647199;0,01;8,464719892
150;0,047787048;0,01;3,778704792
151;0,051039536;0,01;4,103953555
152;0,053710558;0,05;0,07421115
153;0,072095819;0,08;0,098802265
154;0,241617352;0,4;0,395956621
155;0,11677248;0,2;0,416137598
156;0,065890774;0,01;5,589077413
157;0,084888391;0,01;7,48883912
158;0,036790222;0,01;2,679022193
159;0,074800663;0,08;0,064991716
160;0,070486382;0,05;0,409727633
161;0,04123304;0,01;3,123304039
162;0,039236695;0,05;0,215266109
163;0,093301892;0,13;0,282293136
164;0,044135503;0,01;3,413550347
165;0,224999264;0,34;0,338237459
166;0,065158255;0,08;0,185521808
167;0,081693336;0,03;1,723111212
168;0,139772505;0,2;0,301137477
169;0,041796912;0,01;3,179691151
170;0,057446904;0,08;0,281913694
171;0,070215143;0,01;6,021514326
172;0,016613031;0,01;0,661303081
173;0,091462165;0,13;0,296444884
174;0,066990256;0,08;0,162621796
175;0,068440951;0,08;0,144488107
176;0,030101264;0,01;2,01012639
177;0,060267486;0,08;0,246656429
178;0,084004894;0,08;0,050061174
179;0,063711762;0,08;0,20360297
180;0,076093212;0,08;0,048834853
181;0,077595644;0,08;0,030054454
182;0,098508716;0,13;0,242240649
183;0,094599135;0,08;0,18248919
184;0,038978234;0,02;0,948911697
185;0,032496262;0,01;2,249626234
186;0,051794074;0,08;0,352574069
187;0,038536601;0,01;2,853660077
188;0,041635837;0,08;0,479552032
189;0,10009639;0,13;0,230027772
190;0,044828657;0,01;3,482865706
191;0,097130314;0,08;0,214128919
192;0,052661534;0,01;4,26615344
193;0,06184122;0,05;0,236824393
194;0,075874582;0,05;0,517491639
195;0,018938506;0,01;0,893850602
196;0,265575588;0,4;0,336061031
197;0,069810972;0,05;0,396219432
198;0,128463939;0,13;0,011815855
199;0,408545375;0,4;0,021363437
200;0,167319804;0,13;0,287075419
201;0,173378527;0,13;0,333680978
202;0,108032957;0,13;0,168977256
203;0,152094245;0,13;0,16995573
204;0,016303707;0,01;0,630370691
205;0,065504588;0,05;0,310091764
206;0,06936866;0,08;0,132891744
207;0,072534792;0,13;0,442040061
208;0,096148528;0,13;0,260395937
209;0,086581811;0,08;0,082272641
210;0,051786572;0,03;0,726219058
211;0,049928177;0,05;0,001436457
212;0,036518697;0,05;0,269626066
213;0,045834132;0,05;0,083317369
214;0,091746911;0,13;0,294254528
215;0,067088507;0,08;0,161393661
216;0,111913532;0,21;0,467078419
217;0,085192792;0,08;0,064909901
218;0,05866177;0,08;0,266727874
219;0,066126399;0,08;0,173420016
220;0,059895959;0,08;0,251300516
221;0,062156256;0,05;0,243125126
