;Predictions;True labels;
0;0,026590189;0,03;0,113660368
1;0,029988289;0,02;0,499414444
2;0,017745433;0,02;0,112728331
3;0,018829752;0,02;0,058512412
4;0,039155539;0,05;0,216889217
5;0,025975164;0,02;0,298758201
6;0,018345194;0,05;0,633096121
7;0,028177792;0,05;0,436444156
8;0,033706356;0,05;0,325872883
9;0,048096023;0,08;0,398799706
10;0,023695886;0,01;1,369588614
11;0,061227702;0,08;0,23465373
12;0,031742666;0,03;0,058088864
13;0,063403323;0,12;0,471638973
14;0,074341007;0,08;0,070737418
15;0,059704524;0,05;0,194090471
16;0,009584259;0,02;0,520787038
17;0,027025359;0,03;0,099154708
18;0,042031169;0,05;0,159376621
19;0,045699157;0,12;0,619173693
20;0,052111607;0,05;0,042232141
21;0,044244263;0,02;1,212213166
22;0,040460907;0,01;3,046090692
23;0,022404186;0,02;0,120209321
24;0,014218326;0,03;0,526055809
25;0,024594903;0,03;0,1801699
26;0,039125904;0,05;0,217481911
27;0,029470386;0,03;0,017653801
28;0,035540123;0,05;0,289197549
29;0,039050024;0,01;2,9050024
30;0,032086309;0,03;0,069543635
31;0,02918057;0,03;0,027314348
32;0,025972916;0,02;0,298645791
33;0,024841564;0,12;0,792986969
34;0,029258704;0,02;0,462935191
35;0,023971928;0,05;0,520561434
36;0,021578876;0,05;0,568422474
37;0,038655497;0,05;0,226890057
38;0,051939439;0,02;1,596971951
39;0,028980395;0,03;0,033986839
40;-9,73E-05;0,03;1,003244143
41;0,073285334;0,03;1,44284446
42;0,012644007;0,05;0,747119863
43;0,034874436;0,03;0,162481184
44;0,048000883;0,03;0,600029444
45;0,025104675;0,03;0,163177485
46;0,082587667;0,08;0,032345835
47;0,062144198;0,02;2,107209876
48;0,023511194;0,05;0,529776126
49;0,037551306;0,02;0,877565309
50;0,020149149;0,05;0,59701702
51;0,024709247;0,05;0,505815059
52;0,016195828;0,01;0,61958281
53;0,031850677;0,01;2,185067698
54;0,040229898;0,02;1,011494897
55;0,014269048;0,02;0,286547583
56;0,01963249;0,01;0,963249035
57;0,027618406;0,01;1,761840634
58;0,012589623;0,02;0,370518839
59;0,008230895;0,01;0,17691052
60;0,012405026;0,03;0,586499141
61;0,015690798;0,01;0,569079794
62;0,025216624;0,02;0,260831207
63;0,028355213;0,01;1,835521288
64;0,184418947;0,2;0,077905267
65;-0,001631755;0,03;1,054391819
66;0,140375152;0,2;0,298124239
67;0,015449499;0,02;0,227525061
68;0,018475013;0,01;0,847501285
69;0,036205824;0,05;0,275883511
70;0,025037298;0,01;1,503729798
71;0,034869075;0,03;0,162302494
72;0,030588897;0,01;2,058889695
73;0,043782495;0,03;0,459416499
74;0,033921603;0,05;0,321567938
75;0,029547036;0,02;0,477351785
76;0,042039622;0,03;0,401320721
77;0,028175827;0,02;0,408791356
78;0,025602767;0,02;0,280138362
79;0,036338262;0,03;0,211275409
80;0,023877958;0,02;0,193897892
81;0,007422191;0,02;0,628890445
82;0,073832549;0,08;0,077093136
83;0,045110967;0,08;0,436112912
84;0,030395882;0,05;0,392082356
85;0,038510483;0,05;0,229790345
86;0,022810509;0,01;1,281050943
87;0,042064667;0,02;1,103233337
88;0,030157624;0,02;0,507881191
89;0,023708973;0,08;0,703637837
90;0,023808852;0,03;0,206371605
91;0,018003358;0,03;0,399888081
92;0,017435705;0,02;0,128214736
93;0,010659511;0,01;0,06595112
94;0,001598088;0,01;0,840191158
95;0,039749216;0,02;0,987460814
96;0,014468621;0,02;0,276568973
97;0,097457238;0,2;0,512713812
98;0,006846313;0,01;0,315368664
99;0,021121597;0,05;0,577568062
100;0,022335412;0,03;0,255486267
101;0,038288318;0,03;0,276277254
102;0,027057398;0,05;0,458852038
103;0,025625179;0,02;0,28125893
104;0,048434;0,05;0,031319991
105;0,037909124;0,05;0,241817519
106;0,023159357;0,01;1,315935679
107;0,034781985;0,03;0,159399499
108;0,032364022;0,03;0,078800733
109;0,030256072;0,05;0,394878559
110;0,006892733;0,03;0,77024224
111;0,02398045;0,02;0,199022494
112;0,013555891;0,01;0,355589088
113;0,008654196;0,01;0,134580418
114;0,020797722;0,02;0,039886102
115;0,017141027;0,01;0,714102738
116;0,020647354;0,03;0,311754853
117;0,019901672;0,03;0,336610921
118;0,029163908;0,03;0,027869726
119;0,022184115;0,03;0,260529503
120;0,032222118;0,02;0,611105911
121;0,00097281;0,02;0,951359519
122;0,006507006;0,01;0,349299353
123;0,025792364;0,03;0,140254532
124;0,007869542;0,04;0,803261459
125;0,022891998;0,03;0,23693339
126;0,023742093;0,02;0,187104639
127;0,019693434;0,02;0,015328288
128;-0,003290699;0,02;1,164534955
129;0,022729198;0,02;0,136459876
130;0,019200897;0,05;0,615982063
131;0,020262716;0,02;0,013135817
132;0,013958599;0,02;0,302070029
133;0,039225809;0,03;0,307526976
134;0,010239339;0,01;0,02393385
135;-0,001463416;0,02;1,073170807
136;0,024756288;0,03;0,174790395
137;0,012763583;0,05;0,744728338
138;0,0061544;0,02;0,692279985
139;0,000640799;0,03;0,978640027
140;0,014005792;0,05;0,719884153
141;0,013360072;0,02;0,331996404
142;0,03264682;0,05;0,347063601
143;0,011053655;0,03;0,631544823
144;0,018846249;0,03;0,371791693
145;0,016941821;0,03;0,435272627
146;0,023467045;0,02;0,173352264
147;0,02378948;0,03;0,207017322
148;0,028278138;0,03;0,057395384
149;0,013258684;0,03;0,558043852
150;0,03567344;0,03;0,18911465
151;0,016958628;0,05;0,660827443
152;0,032516357;0,01;2,251635656
153;0,026003201;0,03;0,133226648
154;0,041954938;0,05;0,160901234
155;0,012522263;0,01;0,252226252
156;0,006444357;0,02;0,677782133
157;0,09119197;0,08;0,139899623
158;0,024319885;0,02;0,215994265
