;Predictions;True labels;
0;0,064923808;0,08;0,1884524
1;0,073553592;0,08;0,0805801
2;0,074532978;0,08;0,068337772
3;0,052716121;0,05;0,054322422
4;0,081300654;0,08;0,016258169
5;0,042721063;0,03;0,42403543
6;0,041483749;0,03;0,382791623
7;0,054982726;0,08;0,312715931
8;0,044514649;0,05;0,109707028
9;0,063741103;0,05;0,274822056
10;0,038306165;0,05;0,23387669
11;0,075109787;0,08;0,061127659
12;0,03131675;0,01;2,131674975
13;0,058725059;0,08;0,265936762
14;0,034895193;0,02;0,744759642
15;0,060452364;0,05;0,209047288
16;0,035818726;0,01;2,581872582
17;0,044765867;0,05;0,104682654
18;0,084003597;0,08;0,050044969
19;0,09483213;0,08;0,185401622
20;0,088407367;0,05;0,768147349
21;0,055196293;0,05;0,103925854
22;0,045046765;0,03;0,501558845
23;0,07822708;0,08;0,022161495
24;0,064704299;0,03;1,156809966
25;0,060648952;0,01;5,064895168
26;0,046972748;0,05;0,060545042
27;0,036860716;0,05;0,262785688
28;-0,009954745;0,01;1,995474495
29;0,077452876;0,08;0,031839054
30;0,093175955;0,08;0,164699439
31;0,079624251;0,08;0,004696868
32;0,06531436;0,08;0,1835705
33;0,03853485;0,03;0,284494996
34;0,036529183;0,05;0,269416332
35;0,065614723;0,05;0,312294453
36;0,056311212;0,03;0,877040416
37;0,066477954;0,05;0,329559088
38;0,043461263;0,03;0,448708773
39;0,059306409;0,05;0,186128184
40;0,07713192;0,08;0,035851005
41;0,077359363;0,05;0,547187269
42;0,04053789;0,05;0,189242199
43;0,080276512;0,13;0,382488372
44;0,066864289;0,05;0,337285787
45;0,071943656;0,08;0,100704305
46;0,024402924;0,03;0,186569204
47;0,08410155;0,08;0,051269379
48;0,064928189;0,05;0,298563778
49;0,031230828;0,01;2,123082779
50;0,037737757;0,05;0,245244861
51;0,047879115;0,08;0,401511066
52;0,096110247;0,13;0,260690407
53;0,059481751;0,05;0,189635023
54;0,028404159;0,03;0,053194684
55;0,063036256;0,05;0,260725111
56;0,069565341;0,08;0,130433239
57;0,014643431;0,03;0,511885643
58;0,025614381;0,02;0,280719042
59;0,062160745;0,05;0,243214905
60;0,055373162;0,03;0,845772068
61;0,072333604;0,08;0,095829949
62;0,069925994;0,08;0,125925079
63;0,065531306;0,08;0,180858675
64;0,080573909;0,08;0,007173862
65;0,045031674;0,02;1,25158371
66;0,089484252;0,08;0,11855315
67;0,039836448;0,05;0,203271046
68;0,025995679;0,02;0,29978396
69;0,023944292;0,05;0,521114156
70;0,020082997;0,01;1,008299716
71;0,038785264;0,01;2,87852639
72;0,071386218;0,05;0,427724361
73;0,03586695;0,01;2,586694971
74;0,0368439;0,01;2,684389964
75;0,028534804;0,01;1,853480354
76;0,041594032;0,05;0,168119356
77;0,06828811;0,05;0,365762204
78;0,053689092;0,08;0,328886345
79;0,070136957;0,08;0,123288039
80;0,036646739;0,03;0,221557955
81;0,047381774;0,05;0,052364528
82;0,02361859;0,02;0,180929504
83;0,038563304;0,03;0,285443455
84;0,115663007;0,21;0,449223777
85;0,03498359;0,08;0,562705122
86;0,087406516;0,13;0,327642184
87;0,049233496;0,08;0,384581298
88;0,041690484;0,01;3,169048369
89;0,033351894;0,05;0,332962111
90;0,037027974;0,01;2,702797368
91;0,087963887;0,13;0,323354719
92;0,025598438;0,01;1,559843846
93;0,038705327;0,03;0,290177554
94;0,009792819;0,03;0,67357271
95;0,122765921;0,13;0,055646761
96;0,098993026;0,13;0,238515187
97;0,090873785;0,08;0,135922316
98;0,039414324;0,02;0,970716193
99;0,079630651;0,08;0,004616868
