epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	25.8634	3.4565	|	1.4224	0.3553	45.2830	0.0000	|	1.3925	0.3522	50.5119	0.0000	|  Best result at epoch 0
1	12.0245	3.4976	|	1.4881	0.3519	45.2830	0.0000	|	1.5031	0.3571	50.5119	0.0000	|  Best result at epoch 0
2	10.5736	4.0758	|	1.6354	0.3448	45.2830	0.0000	|	1.7342	0.3679	50.5119	0.0000	|  Best result at epoch 0
3	10.1852	3.5346	|	1.4606	0.3971	45.2830	0.0000	|	1.3880	0.3821	50.5119	0.0000	|  Best result at epoch 0
4	10.1332	3.3863	|	1.3973	0.3561	45.2830	0.0000	|	1.3657	0.3509	50.5119	0.0000	|  Best result at epoch 4
5	9.4231	3.4623	|	1.3956	0.3763	45.2830	0.0000	|	1.3269	0.3629	50.5119	0.0000	|  Best result at epoch 5
6	9.1441	3.4046	|	1.4355	0.3542	45.2830	0.0000	|	1.4248	0.3537	50.5119	0.0000	|  Best result at epoch 5
7	8.9383	3.6184	|	1.5335	0.3495	45.2830	0.0000	|	1.5789	0.3608	50.5119	0.0000	|  Best result at epoch 5
8	8.9197	3.6781	|	1.5496	0.3487	45.2830	0.0000	|	1.6031	0.3619	50.5119	0.0000	|  Best result at epoch 5
9	8.6980	3.3986	|	1.4346	0.3541	45.2830	0.0000	|	1.4254	0.3538	50.5119	0.0000	|  Best result at epoch 5
10	8.5666	3.7431	|	1.5665	0.3479	45.2830	0.0000	|	1.6290	0.3631	50.5119	0.0000	|  Best result at epoch 5
11	7.8938	3.6055	|	1.5204	0.4168	45.2830	0.0000	|	1.4425	0.4021	50.5119	0.0000	|  Best result at epoch 5
12	7.5062	3.8813	|	1.6671	0.4636	45.2830	0.0000	|	1.5753	0.4465	50.5119	0.0000	|  Best result at epoch 5
13	8.0602	3.3666	|	1.4018	0.3554	45.2830	0.0000	|	1.3758	0.3517	50.5119	0.0000	|  Best result at epoch 5
14	7.6135	3.4685	|	1.4271	0.3875	45.2830	0.0000	|	1.3522	0.3750	50.5119	0.0000	|  Best result at epoch 5
15	7.2013	3.3625	|	1.3714	0.3580	45.2830	0.0000	|	1.3280	0.3510	50.5119	0.0000	|  Best result at epoch 15
16	7.2856	3.3625	|	1.3681	0.3586	45.2830	0.0000	|	1.3233	0.3511	50.5119	0.0000	|  Best result at epoch 16
17	6.8549	3.5086	|	1.4686	0.4015	45.2830	0.0000	|	1.3908	0.3894	50.5119	0.0000	|  Best result at epoch 16
18	6.6203	3.3491	|	1.3892	0.3559	45.2830	0.0000	|	1.3607	0.3513	50.5119	0.0000	|  Best result at epoch 16
