epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	67.3843	79.1069	|	8.2003	0.9585	0.0000	0.0000	|	6.3763	0.9337	0.0000	0.0000	|  Best result at epoch 0
1	63.0402	68.8213	|	7.5462	0.8630	0.0000	0.0000	|	5.7192	0.7806	7.1429	0.0000	|  Best result at epoch 1
2	43.8992	14.3702	|	2.9741	0.4112	37.5758	0.0000	|	2.9212	0.9149	28.5714	0.0000	|  Best result at epoch 2
3	31.6367	19.3296	|	3.5227	0.4061	41.2121	0.0000	|	2.7465	0.6962	54.1667	0.0000	|  Best result at epoch 2
4	30.0627	25.0193	|	3.9693	0.4213	21.8182	0.0000	|	2.7554	0.5886	39.8810	0.0000	|  Best result at epoch 2
5	27.8004	16.3459	|	3.2427	0.4066	43.0303	0.0000	|	2.8270	0.7873	35.1190	0.0000	|  Best result at epoch 2
6	27.7942	17.0910	|	3.3371	0.4062	42.4242	0.0000	|	2.8024	0.7536	37.5000	0.0000	|  Best result at epoch 2
7	26.8028	13.6281	|	2.9200	0.4082	38.7879	0.0000	|	2.9404	0.9014	27.9762	0.0000	|  Best result at epoch 7
8	27.8526	18.2502	|	3.4325	0.4057	42.4242	0.0000	|	2.7746	0.7164	50.5952	0.0000	|  Best result at epoch 7
9	26.0617	12.6569	|	2.7889	0.4093	38.1818	0.0000	|	2.9998	0.9464	26.7857	0.0000	|  Best result at epoch 9
10	25.0551	18.3232	|	3.4450	0.4056	43.0303	0.0000	|	2.7702	0.7099	53.5714	0.0000	|  Best result at epoch 9
11	26.2668	14.6874	|	3.1103	0.4073	39.3939	0.0000	|	2.8867	0.8311	26.7857	0.0000	|  Best result at epoch 9
12	24.6490	16.5637	|	3.2898	0.4064	41.2121	0.0000	|	2.8146	0.7659	33.9286	0.0000	|  Best result at epoch 9
13	23.6717	14.4766	|	3.0582	0.4075	37.5758	0.0000	|	2.8912	0.8469	26.7857	0.0000	|  Best result at epoch 9
14	24.7305	15.7788	|	3.2201	0.4067	40.0000	0.0000	|	2.8381	0.7888	30.9524	0.0000	|  Best result at epoch 9
15	26.5147	17.8995	|	3.4043	0.4058	43.6364	0.0000	|	2.7838	0.7215	48.2143	0.0000	|  Best result at epoch 9
16	23.8040	17.7221	|	3.3956	0.4059	46.0606	0.0000	|	2.7843	0.7259	47.6190	0.0000	|  Best result at epoch 9
17	23.8756	15.3737	|	3.1793	0.4069	39.3939	0.0000	|	2.8586	0.8009	27.9762	0.0000	|  Best result at epoch 9
18	25.5267	22.9083	|	3.7744	0.4071	21.8182	0.0000	|	2.6993	0.6016	40.4762	0.0000	|  Best result at epoch 9
19	24.9473	12.6348	|	2.8190	0.4087	38.7879	0.0000	|	2.9772	0.9306	26.7857	0.0000	|  Best result at epoch 9
20	21.3006	16.9768	|	3.3218	0.4063	44.8485	0.0000	|	2.7882	0.7463	39.2857	0.0000	|  Best result at epoch 9
21	24.0659	16.7107	|	3.2948	0.4064	44.8485	0.0000	|	2.8015	0.7555	36.3095	0.0000	|  Best result at epoch 9
22	24.6020	18.3436	|	3.4340	0.4060	40.6061	0.0000	|	2.7644	0.7070	48.8095	0.0000	|  Best result at epoch 9
23	23.4357	11.6192	|	2.8138	0.4459	38.7879	0.0000	|	3.3002	1.0707	26.1905	0.0000	|  Best result at epoch 9
24	24.1910	18.3631	|	3.4304	0.4062	39.3939	0.0000	|	2.7623	0.7027	45.8333	0.0000	|  Best result at epoch 9
25	25.4270	15.6183	|	3.1895	0.4067	40.6061	0.0000	|	2.8337	0.7873	31.5476	0.0000	|  Best result at epoch 9
26	22.0736	15.5337	|	3.1756	0.4067	40.6061	0.0000	|	2.8362	0.7881	30.9524	0.0000	|  Best result at epoch 9
27	23.5592	15.6971	|	3.1943	0.4068	41.2121	0.0000	|	2.8422	0.7853	30.3571	0.0000	|  Best result at epoch 9
28	23.7693	15.2351	|	3.1519	0.4069	39.3939	0.0000	|	2.8548	0.8018	29.1667	0.0000	|  Best result at epoch 9
29	23.8535	16.5910	|	3.2822	0.4065	44.2424	0.0000	|	2.8172	0.7566	35.7143	0.0000	|  Best result at epoch 9
30	22.1651	19.8247	|	3.5434	0.4065	27.2727	0.0000	|	2.7547	0.6697	44.0476	0.0000	|  Best result at epoch 9
31	23.5728	18.3602	|	3.4442	0.4059	43.6364	0.0000	|	2.7777	0.7058	54.7619	0.0000	|  Best result at epoch 9
32	23.0601	14.7829	|	3.0993	0.4072	36.9697	0.0000	|	2.8694	0.8178	28.5714	0.0000	|  Best result at epoch 9
33	22.3116	13.6249	|	2.9957	0.4079	38.7879	0.0000	|	2.9519	0.8746	25.5952	0.0000	|  Best result at epoch 9
34	21.9975	13.2839	|	2.9030	0.4081	37.5758	0.0000	|	2.9380	0.8898	27.9762	0.0000	|  Best result at epoch 9
35	21.3880	17.2664	|	3.3371	0.4072	44.8485	0.0000	|	2.8128	0.7400	41.0714	0.0000	|  Best result at epoch 9
36	21.5859	16.2602	|	3.2430	0.4070	44.2424	0.0000	|	2.8301	0.7683	32.1429	0.0000	|  Best result at epoch 9
37	22.6774	13.9288	|	2.9855	0.4076	36.9697	0.0000	|	2.9100	0.8552	28.5714	0.0000	|  Best result at epoch 9
38	21.3234	16.0637	|	3.1996	0.4074	44.8485	0.0000	|	2.8656	0.7816	31.5476	0.0000	|  Best result at epoch 9
39	21.3591	13.8665	|	2.9685	0.4077	39.3939	0.0000	|	2.9381	0.8624	26.7857	0.0000	|  Best result at epoch 9
40	22.5926	12.7243	|	2.8203	0.4145	40.0000	0.0000	|	2.9979	0.9215	28.5714	0.0000	|  Best result at epoch 9
41	22.3875	11.2894	|	2.8147	0.4559	37.5758	0.0000	|	3.3879	1.0948	27.3810	0.0000	|  Best result at epoch 9
42	21.1477	13.1388	|	2.8426	0.4086	40.0000	0.0000	|	2.9341	0.8907	28.5714	0.0000	|  Best result at epoch 9
43	21.3316	12.8264	|	2.8179	0.4094	38.7879	0.0000	|	2.9649	0.9076	27.9762	0.0000	|  Best result at epoch 9
44	20.6414	15.2758	|	3.1063	0.4124	41.2121	0.0000	|	2.9126	0.8159	28.5714	0.0000	|  Best result at epoch 9
45	21.1580	13.7455	|	2.9547	0.4085	39.3939	0.0000	|	2.9481	0.8653	27.3810	0.0000	|  Best result at epoch 9
46	19.2101	14.4828	|	3.0276	0.4082	40.6061	0.0000	|	2.9164	0.8337	28.5714	0.0000	|  Best result at epoch 9
47	19.0497	13.4583	|	2.8940	0.4084	38.7879	0.0000	|	2.9494	0.8770	27.9762	0.0000	|  Best result at epoch 9
48	21.6349	14.9056	|	3.0923	0.4082	40.6061	0.0000	|	2.8940	0.8135	28.5714	0.0000	|  Best result at epoch 9
49	21.1779	14.8027	|	3.0432	0.4108	39.3939	0.0000	|	2.9222	0.8341	27.9762	0.0000	|  Best result at epoch 9
50	19.9012	13.6672	|	2.8889	0.4105	40.0000	0.0000	|	2.9760	0.8875	27.3810	0.0000	|  Best result at epoch 9
51	21.0321	14.2700	|	3.0011	0.4085	40.0000	0.0000	|	2.9361	0.8520	27.3810	0.0000	|  Best result at epoch 9
52	19.8010	13.9802	|	3.0121	0.4076	38.1818	0.0000	|	2.9223	0.8533	26.7857	0.0000	|  Best result at epoch 9
53	20.6503	16.1916	|	3.2380	0.4070	43.0303	0.0000	|	2.8412	0.7679	32.7381	0.0000	|  Best result at epoch 9
54	19.9255	14.6975	|	3.0798	0.4078	41.2121	0.0000	|	2.9112	0.8252	26.1905	0.0000	|  Best result at epoch 9
55	19.8892	15.4788	|	3.1478	0.4096	42.4242	0.0000	|	2.8912	0.8055	28.5714	0.0000	|  Best result at epoch 9
56	20.3181	12.5323	|	2.7728	0.4099	38.1818	0.0000	|	3.0178	0.9380	27.3810	0.0000	|  Best result at epoch 56
57	20.9270	15.3682	|	3.1312	0.4072	43.6364	0.0000	|	2.8838	0.8030	28.5714	0.0000	|  Best result at epoch 56
58	18.8713	13.4087	|	2.8127	0.4145	39.3939	0.0000	|	3.0160	0.9330	27.3810	0.0000	|  Best result at epoch 56
59	20.9641	14.4852	|	3.0513	0.4078	39.3939	0.0000	|	2.9220	0.8373	26.1905	0.0000	|  Best result at epoch 56
60	21.0139	13.3263	|	2.8930	0.4080	40.0000	0.0000	|	2.9521	0.8897	27.3810	0.0000	|  Best result at epoch 56
61	18.7154	12.8036	|	2.8158	0.4084	40.6061	0.0000	|	2.9840	0.9158	27.3810	0.0000	|  Best result at epoch 56
62	19.4161	15.1159	|	3.1151	0.4232	36.3636	0.0000	|	2.9705	0.8653	26.7857	0.0000	|  Best result at epoch 56
63	18.7903	14.1590	|	2.9757	0.4167	38.1818	0.0000	|	2.9878	0.8950	26.7857	0.0000	|  Best result at epoch 56
64	19.7418	12.3522	|	2.7340	0.4105	39.3939	0.0000	|	3.0514	0.9555	27.3810	0.0000	|  Best result at epoch 64
65	19.9980	13.5836	|	2.8636	0.4111	39.3939	0.0000	|	3.0044	0.9075	27.9762	0.0000	|  Best result at epoch 64
66	18.7461	16.6539	|	3.2990	0.4194	37.5758	0.0000	|	2.9105	0.7969	30.3571	0.0000	|  Best result at epoch 64
67	20.0838	13.9723	|	2.9390	0.4160	38.1818	0.0000	|	3.0188	0.9095	27.3810	0.0000	|  Best result at epoch 64
68	19.3350	14.9092	|	3.0806	0.4087	38.7879	0.0000	|	2.9263	0.8354	27.3810	0.0000	|  Best result at epoch 64
69	21.3651	14.5222	|	3.0201	0.4106	38.7879	0.0000	|	2.9652	0.8643	27.3810	0.0000	|  Best result at epoch 64
70	18.7207	15.6640	|	3.1858	0.4212	35.7576	0.0000	|	2.9378	0.8424	26.7857	0.0000	|  Best result at epoch 64
