epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	7.8272	3.3626	|	1.5883	0.8625	0.0000	0.0000	|	1.6678	0.8641	0.0000	0.0000	|  Best result at epoch 0
1	6.9489	2.7514	|	1.3826	0.7211	0.0000	0.0000	|	1.4620	0.7244	0.0000	0.0000	|  Best result at epoch 1
2	6.0877	2.0764	|	1.1120	0.5352	0.0000	0.0000	|	1.1923	0.5413	0.0000	0.0000	|  Best result at epoch 2
3	4.9849	0.8836	|	0.7082	0.4229	32.6923	0.0000	|	0.7978	0.4390	21.6981	0.0000	|  Best result at epoch 3
4	4.1067	0.8543	|	0.6953	0.4302	42.3077	0.0000	|	0.7929	0.4551	33.9623	0.0000	|  Best result at epoch 4
5	3.7656	0.8958	|	0.6946	0.5167	42.3077	0.0000	|	0.7935	0.5443	33.9623	0.0000	|  Best result at epoch 5
6	4.0181	0.8609	|	0.6962	0.4227	42.3077	0.0000	|	0.7949	0.4498	33.9623	0.0000	|  Best result at epoch 5
7	3.2480	0.8822	|	0.6748	0.5095	42.3077	0.0000	|	0.7868	0.5497	33.9623	0.0000	|  Best result at epoch 7
8	3.5300	0.8346	|	0.6606	0.4658	42.3077	0.0000	|	0.7664	0.5034	33.9623	0.0000	|  Best result at epoch 8
9	3.0150	0.9044	|	0.7079	0.4045	32.6923	0.0000	|	0.8055	0.4312	29.2453	0.0000	|  Best result at epoch 8
10	3.2483	0.8658	|	0.6591	0.4986	42.3077	0.0000	|	0.7762	0.5430	33.9623	0.0000	|  Best result at epoch 10
11	3.0038	0.9436	|	0.7162	0.3931	5.7692	0.0000	|	0.8120	0.4184	9.4340	0.0000	|  Best result at epoch 10
12	2.6459	2.0446	|	1.2875	1.0294	10.5769	0.0000	|	1.2876	1.0342	16.9811	0.0000	|  Best result at epoch 10
13	3.3770	0.8628	|	0.6571	0.4944	42.3077	0.0000	|	0.7740	0.5391	33.9623	0.0000	|  Best result at epoch 13
14	3.2175	0.8898	|	0.6789	0.5157	42.3077	0.0000	|	0.7878	0.5592	33.9623	0.0000	|  Best result at epoch 13
15	2.9311	1.0985	|	0.8699	0.6770	51.9231	0.0000	|	0.9442	0.7110	49.0566	0.0000	|  Best result at epoch 13
16	2.8881	0.9922	|	0.7877	0.6066	46.1538	0.0000	|	0.8821	0.6508	38.6792	0.0000	|  Best result at epoch 13
17	2.9059	1.2718	|	0.9741	0.7648	38.4615	0.0000	|	1.0374	0.7999	32.0755	0.0000	|  Best result at epoch 13
18	2.8107	0.8521	|	0.6550	0.4823	42.3077	0.0000	|	0.7641	0.5259	33.9623	0.0000	|  Best result at epoch 18
19	2.8697	0.8474	|	0.6655	0.4815	42.3077	0.0000	|	0.7881	0.5377	33.9623	0.0000	|  Best result at epoch 18
20	2.5345	1.0575	|	0.8394	0.6488	49.0385	0.0000	|	0.9329	0.6995	46.2264	0.0000	|  Best result at epoch 18
21	2.4596	0.9414	|	0.7432	0.5592	46.1538	0.0000	|	0.8811	0.6451	39.6226	0.0000	|  Best result at epoch 18
22	2.5301	0.8579	|	0.6824	0.4342	42.3077	0.0000	|	0.7883	0.4751	33.9623	0.0000	|  Best result at epoch 18
23	2.5984	1.1899	|	0.9245	0.7228	35.5769	0.0000	|	1.0295	0.7964	28.3019	0.0000	|  Best result at epoch 18
24	2.5374	1.2839	|	0.9783	0.7663	32.6923	0.0000	|	1.0627	0.8281	28.3019	0.0000	|  Best result at epoch 18
25	2.5833	0.8663	|	0.6925	0.4241	42.3077	0.0000	|	0.7943	0.4597	33.9623	0.0000	|  Best result at epoch 18
26	2.5846	0.8572	|	0.6832	0.4791	42.3077	0.0000	|	0.8089	0.5421	33.9623	0.0000	|  Best result at epoch 18
27	2.4611	1.0193	|	0.8038	0.6181	46.1538	0.0000	|	0.9200	0.6868	43.3962	0.0000	|  Best result at epoch 18
28	2.3619	0.8635	|	0.6815	0.4937	42.3077	0.0000	|	0.8050	0.5544	33.9623	0.0000	|  Best result at epoch 18
29	2.4526	0.8722	|	0.6949	0.4966	42.3077	0.0000	|	0.8261	0.5665	34.9057	0.0000	|  Best result at epoch 18
30	2.3842	1.7969	|	1.1899	0.9445	20.1923	0.0000	|	1.2776	1.0307	22.6415	0.0000	|  Best result at epoch 18
31	2.5284	0.8624	|	0.6906	0.4765	42.3077	0.0000	|	0.8285	0.5411	33.0189	0.0000	|  Best result at epoch 18
32	2.3947	0.9027	|	0.7162	0.5160	44.2308	0.0000	|	0.8586	0.5992	36.7925	0.0000	|  Best result at epoch 18
33	2.2018	0.9194	|	0.7239	0.5304	43.2692	0.0000	|	0.8672	0.6142	35.8491	0.0000	|  Best result at epoch 18
34	2.2392	0.8593	|	0.6816	0.4797	42.3077	0.0000	|	0.8068	0.5360	33.9623	0.0000	|  Best result at epoch 18
35	2.3414	1.0938	|	0.8348	0.6447	32.6923	0.0000	|	0.9745	0.7456	30.1887	0.0000	|  Best result at epoch 18
36	2.1410	0.9992	|	0.7805	0.6015	38.4615	0.0000	|	0.9180	0.6924	34.9057	0.0000	|  Best result at epoch 18
