epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	34.0766	14.2112	|	2.7590	0.9077	0.0000	0.0000	|	3.4076	0.9107	0.0000	0.0000	|  Best result at epoch 0
1	32.6860	13.3281	|	2.5940	0.8137	0.0000	0.0000	|	3.2426	0.8197	0.0000	0.0000	|  Best result at epoch 1
2	31.4286	12.3431	|	2.3966	0.7012	0.0000	0.0000	|	3.0452	0.7109	0.0000	0.0000	|  Best result at epoch 2
3	30.0336	11.2010	|	2.1444	0.5575	35.5263	0.0000	|	2.7934	0.5720	35.4430	0.0000	|  Best result at epoch 3
4	27.5680	9.1124	|	1.8259	0.4816	3.9474	0.0000	|	2.4655	0.5061	0.0000	0.0000	|  Best result at epoch 4
5	24.1695	8.6469	|	2.3718	1.2959	17.1053	0.0000	|	2.6036	1.3143	13.9241	0.0000	|  Best result at epoch 4
6	23.7761	7.2775	|	1.8868	0.9187	27.6316	0.0000	|	2.3669	0.9699	17.7215	0.0000	|  Best result at epoch 4
7	24.0921	7.1440	|	1.7594	0.7552	28.9474	0.0000	|	2.3156	0.8063	24.0506	0.0000	|  Best result at epoch 7
8	21.4911	7.1380	|	1.7438	0.7349	30.2632	0.0000	|	2.3115	0.7862	25.3165	0.0000	|  Best result at epoch 8
9	20.6836	7.3320	|	2.0867	1.1312	22.3684	0.0000	|	2.5402	1.1843	18.9873	0.0000	|  Best result at epoch 8
10	21.9968	6.9538	|	1.8243	0.9112	25.0000	0.0000	|	2.3904	0.9747	15.1899	0.0000	|  Best result at epoch 8
11	19.1454	6.9930	|	1.8551	0.9422	25.0000	0.0000	|	2.4043	1.0084	15.1899	0.0000	|  Best result at epoch 8
12	20.7635	8.5978	|	2.5091	1.4643	9.2105	0.0000	|	2.7907	1.5074	13.9241	0.0000	|  Best result at epoch 8
13	19.2803	7.3447	|	2.1336	1.1796	19.7368	0.0000	|	2.5661	1.2388	16.4557	0.0000	|  Best result at epoch 8
14	21.5697	6.9740	|	1.9002	0.9913	23.6842	0.0000	|	2.4328	1.0617	16.4557	0.0000	|  Best result at epoch 8
15	18.3582	6.8813	|	1.7594	0.8175	26.3158	0.0000	|	2.3306	0.8795	13.9241	0.0000	|  Best result at epoch 8
16	20.7382	6.9281	|	1.8940	0.9905	23.6842	0.0000	|	2.4293	1.0581	16.4557	0.0000	|  Best result at epoch 8
17	18.4983	8.5627	|	2.5235	1.4909	9.2105	0.0000	|	2.8203	1.5462	13.9241	0.0000	|  Best result at epoch 8
18	19.8186	7.8642	|	2.3305	1.3371	11.8421	0.0000	|	2.6968	1.3949	13.9241	0.0000	|  Best result at epoch 8
19	18.1516	7.5598	|	2.2620	1.2985	13.1579	0.0000	|	2.6723	1.3580	15.1899	0.0000	|  Best result at epoch 8
20	20.3866	7.8883	|	2.3660	1.3830	10.5263	0.0000	|	2.7318	1.4389	13.9241	0.0000	|  Best result at epoch 8
21	18.0207	7.9974	|	2.3659	1.3676	11.8421	0.0000	|	2.7024	1.4497	12.6582	0.0000	|  Best result at epoch 8
22	17.9845	7.8449	|	2.2799	1.2778	13.1579	0.0000	|	2.6110	1.3745	15.1899	0.0000	|  Best result at epoch 8
23	17.8773	7.0844	|	1.9188	0.9778	23.6842	0.0000	|	2.3902	1.0777	17.7215	0.0000	|  Best result at epoch 8
24	18.1741	6.9481	|	1.7880	0.8392	27.6316	0.0000	|	2.2950	0.9341	18.9873	0.0000	|  Best result at epoch 8
25	19.7834	7.5252	|	2.1060	1.1271	17.1053	0.0000	|	2.4799	1.2615	16.4557	0.0000	|  Best result at epoch 8
26	18.3636	9.4203	|	2.5153	1.4333	14.4737	0.0000	|	2.8150	1.6407	10.1266	0.0000	|  Best result at epoch 8
27	18.1420	7.5359	|	2.0776	1.1090	18.4211	0.0000	|	2.5155	1.2527	16.4557	0.0000	|  Best result at epoch 8
