epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	61.6888	37.8239	|	4.0961	1.1147	16.8274	0.0000	|	4.3338	1.0607	18.1818	0.0000	|  Best result at epoch 0
1	55.2512	35.2273	|	4.3384	1.4798	13.7192	0.0000	|	4.4725	1.3956	15.5080	0.0000	|  Best result at epoch 0
2	52.1198	35.3063	|	4.7822	1.9216	14.4695	0.0000	|	4.8403	1.8111	14.7594	0.0000	|  Best result at epoch 0
3	50.8843	34.7619	|	4.3128	1.4967	13.5048	0.0000	|	4.4612	1.4232	14.8663	0.0000	|  Best result at epoch 0
4	49.8669	34.3707	|	4.4944	1.7034	15.8628	0.0000	|	4.6024	1.6165	16.2567	0.0000	|  Best result at epoch 0
5	50.8884	34.1907	|	4.2757	1.5027	15.4341	0.0000	|	4.4476	1.4312	17.0053	0.0000	|  Best result at epoch 0
6	48.9367	33.7493	|	4.4266	1.6662	14.8982	0.0000	|	4.5705	1.5840	15.6150	0.0000	|  Best result at epoch 0
7	48.9582	33.6835	|	4.4219	1.6630	15.5413	0.0000	|	4.5727	1.5809	15.7219	0.0000	|  Best result at epoch 0
8	47.8191	34.1381	|	4.1764	1.4173	19.0782	0.0000	|	4.4064	1.3649	19.8930	0.0000	|  Best result at epoch 0
9	48.4655	34.0628	|	4.3320	1.5622	15.3269	0.0000	|	4.4970	1.4943	16.0428	0.0000	|  Best result at epoch 0
10	47.7867	33.8822	|	4.2804	1.5235	16.6131	0.0000	|	4.4772	1.4577	17.8610	0.0000	|  Best result at epoch 0
11	46.4357	33.6538	|	4.5437	1.7913	14.4695	0.0000	|	4.6871	1.7032	14.8663	0.0000	|  Best result at epoch 0
12	45.9980	35.3565	|	4.9612	2.1341	13.9335	0.0000	|	5.0384	2.0168	15.1872	0.0000	|  Best result at epoch 0
13	45.2909	33.4205	|	4.5660	1.8426	14.1479	0.0000	|	4.7212	1.7492	15.0802	0.0000	|  Best result at epoch 0
14	45.4759	33.2763	|	4.4637	1.7377	15.2197	0.0000	|	4.6358	1.6538	15.6150	0.0000	|  Best result at epoch 0
15	45.1489	33.3136	|	4.5494	1.8264	13.3976	0.0000	|	4.7159	1.7367	15.0802	0.0000	|  Best result at epoch 0
16	44.6474	34.5649	|	4.8544	2.0823	13.7192	0.0000	|	4.9700	1.9747	14.9733	0.0000	|  Best result at epoch 0
17	44.4313	33.2355	|	4.2784	1.5761	17.3633	0.0000	|	4.4766	1.4997	19.3583	0.0000	|  Best result at epoch 0
18	44.4411	33.1689	|	4.3024	1.6011	16.5059	0.0000	|	4.4994	1.5293	18.2888	0.0000	|  Best result at epoch 0
19	45.1514	33.0581	|	4.2749	1.5852	17.2562	0.0000	|	4.5045	1.5191	18.8235	0.0000	|  Best result at epoch 0
20	44.2981	32.7134	|	4.4233	1.7524	15.5413	0.0000	|	4.6463	1.6674	16.4706	0.0000	|  Best result at epoch 0
21	44.4046	33.2017	|	4.5866	1.8893	13.8264	0.0000	|	4.7691	1.8018	16.2567	0.0000	|  Best result at epoch 0
22	44.0658	32.8001	|	4.3659	1.6907	15.4341	0.0000	|	4.5772	1.6167	17.5401	0.0000	|  Best result at epoch 0
23	43.3986	33.9215	|	4.7680	2.0512	14.2551	0.0000	|	4.9335	1.9562	15.8289	0.0000	|  Best result at epoch 0
24	43.9891	33.0048	|	4.4056	1.7127	14.4695	0.0000	|	4.5913	1.6335	16.8984	0.0000	|  Best result at epoch 0
25	43.0973	33.0034	|	4.4088	1.7264	16.0772	0.0000	|	4.6065	1.6500	17.1123	0.0000	|  Best result at epoch 0
26	43.4088	32.8432	|	4.4217	1.7468	15.6484	0.0000	|	4.6520	1.6667	16.6845	0.0000	|  Best result at epoch 0
27	42.9102	33.4261	|	4.3146	1.6006	16.9346	0.0000	|	4.5012	1.5387	19.4652	0.0000	|  Best result at epoch 0
28	43.0576	32.9998	|	4.3942	1.7043	13.3976	0.0000	|	4.6110	1.6381	14.9733	0.0000	|  Best result at epoch 0
29	42.9010	33.2253	|	4.5456	1.8444	13.5048	0.0000	|	4.7260	1.7720	15.9358	0.0000	|  Best result at epoch 0
30	42.8760	33.2229	|	4.4839	1.7792	12.9689	0.0000	|	4.6498	1.7065	15.4011	0.0000	|  Best result at epoch 0
31	42.9007	33.1944	|	4.5582	1.8719	14.0407	0.0000	|	4.7556	1.7996	15.4011	0.0000	|  Best result at epoch 0
32	43.0027	33.0714	|	4.4398	1.7521	12.9689	0.0000	|	4.6366	1.6760	14.7594	0.0000	|  Best result at epoch 0
33	42.6429	33.0104	|	4.5138	1.8499	14.5766	0.0000	|	4.7358	1.7738	14.8663	0.0000	|  Best result at epoch 0
34	42.3801	33.3230	|	4.5753	1.9042	14.3623	0.0000	|	4.7985	1.8240	14.5455	0.0000	|  Best result at epoch 0
35	43.2424	33.1626	|	4.5645	1.8770	13.7192	0.0000	|	4.7702	1.8056	15.4011	0.0000	|  Best result at epoch 0
36	42.4219	33.3496	|	4.6380	1.9428	13.7192	0.0000	|	4.8391	1.8688	15.7219	0.0000	|  Best result at epoch 0
37	42.9023	33.3702	|	4.6582	1.9600	13.8264	0.0000	|	4.8688	1.8769	15.6150	0.0000	|  Best result at epoch 0
38	42.6631	33.2007	|	4.6039	1.9228	13.7192	0.0000	|	4.8132	1.8508	15.4011	0.0000	|  Best result at epoch 0
39	42.2507	33.0601	|	4.5178	1.8240	14.0407	0.0000	|	4.7084	1.7434	15.2941	0.0000	|  Best result at epoch 0
40	41.7007	33.6422	|	4.6711	2.0238	13.8264	0.0000	|	4.9290	1.9315	14.9733	0.0000	|  Best result at epoch 0
41	42.1249	33.7491	|	4.7453	2.0425	14.3623	0.0000	|	4.8992	1.9520	16.1497	0.0000	|  Best result at epoch 0
42	42.0902	33.0295	|	4.5576	1.8779	14.2551	0.0000	|	4.7320	1.7934	15.7219	0.0000	|  Best result at epoch 0
43	42.0759	32.7802	|	4.4583	1.7801	14.3623	0.0000	|	4.6405	1.7033	15.8289	0.0000	|  Best result at epoch 0
44	41.4785	33.9272	|	4.8138	2.1086	13.3976	0.0000	|	5.0057	2.0256	16.0428	0.0000	|  Best result at epoch 0
45	42.5218	33.1749	|	4.5897	1.9030	14.4695	0.0000	|	4.7876	1.8305	16.4706	0.0000	|  Best result at epoch 0
46	42.4602	33.1615	|	4.6379	1.9629	14.1479	0.0000	|	4.8324	1.8762	16.3636	0.0000	|  Best result at epoch 0
47	41.6425	33.9559	|	4.8026	2.1243	13.8264	0.0000	|	5.0219	2.0423	16.6845	0.0000	|  Best result at epoch 0
48	41.8806	32.9389	|	4.4462	1.7838	15.0054	0.0000	|	4.6354	1.7157	15.4011	0.0000	|  Best result at epoch 0
49	41.2030	33.0074	|	4.4186	1.7514	14.5766	0.0000	|	4.5775	1.6643	15.8289	0.0000	|  Best result at epoch 0
50	42.7320	32.9006	|	4.4797	1.8054	14.0407	0.0000	|	4.6510	1.7249	15.7219	0.0000	|  Best result at epoch 0
51	41.9315	32.6548	|	4.4845	1.8361	15.0054	0.0000	|	4.6930	1.7624	16.0428	0.0000	|  Best result at epoch 0
52	41.3016	32.7612	|	4.5887	1.9598	14.2551	0.0000	|	4.8314	1.8856	16.2567	0.0000	|  Best result at epoch 0
53	41.5171	32.7302	|	4.5709	1.9231	14.0407	0.0000	|	4.7834	1.8468	16.6845	0.0000	|  Best result at epoch 0
54	41.4822	32.6504	|	4.5348	1.9089	14.1479	0.0000	|	4.7576	1.8302	16.5775	0.0000	|  Best result at epoch 0
55	41.9713	32.6465	|	4.5240	1.8779	14.4695	0.0000	|	4.7178	1.7978	16.2567	0.0000	|  Best result at epoch 0
56	41.4473	32.6353	|	4.5619	1.9426	14.0407	0.0000	|	4.7838	1.8603	16.7914	0.0000	|  Best result at epoch 0
57	41.6363	32.8001	|	4.5988	1.9871	13.9335	0.0000	|	4.8442	1.9153	16.4706	0.0000	|  Best result at epoch 0
58	40.3914	32.5560	|	4.3737	1.7342	14.8982	0.0000	|	4.5625	1.6611	16.8984	0.0000	|  Best result at epoch 0
59	41.3355	32.7977	|	4.5482	1.9083	14.2551	0.0000	|	4.7417	1.8441	16.7914	0.0000	|  Best result at epoch 0
60	41.2793	32.5193	|	4.4570	1.8323	14.8982	0.0000	|	4.6752	1.7736	16.0428	0.0000	|  Best result at epoch 0
