epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	4.7066	2.8230	|	1.4345	0.8309	0.0000	0.0000	|	1.5358	0.8400	0.0000	0.0000	|  Best result at epoch 0
1	3.8995	1.8916	|	1.0608	0.5527	0.0000	0.0000	|	1.1656	0.5793	0.0000	0.0000	|  Best result at epoch 1
2	2.7041	0.9426	|	0.6897	0.3476	20.3008	0.0000	|	0.7600	0.3600	19.2593	0.0000	|  Best result at epoch 2
3	2.2838	0.8131	|	0.7123	0.4285	14.2857	0.0000	|	0.7505	0.4198	18.5185	0.0000	|  Best result at epoch 2
4	2.0141	0.8191	|	0.7069	0.4147	8.2707	0.0000	|	0.7496	0.4102	8.8889	0.0000	|  Best result at epoch 2
5	2.0875	0.7922	|	0.7135	0.4405	21.0526	0.0000	|	0.7457	0.4293	20.0000	0.0000	|  Best result at epoch 2
6	1.9993	0.8056	|	0.7086	0.4238	12.7820	0.0000	|	0.7463	0.4174	11.1111	0.0000	|  Best result at epoch 2
7	2.0917	0.8155	|	0.7051	0.4131	0.0000	0.0000	|	0.7465	0.4101	0.0000	0.0000	|  Best result at epoch 2
8	1.8652	0.7700	|	0.7302	0.5057	30.0752	0.0000	|	0.7362	0.4781	32.5926	0.0000	|  Best result at epoch 2
9	1.9716	0.8043	|	0.7068	0.4207	3.0075	0.0000	|	0.7445	0.4160	2.9630	0.0000	|  Best result at epoch 2
10	1.8280	0.7785	|	0.7147	0.4503	30.0752	0.0000	|	0.7401	0.4379	32.5926	0.0000	|  Best result at epoch 2
11	1.8632	0.7695	|	0.7306	0.5083	30.0752	0.0000	|	0.7330	0.4805	32.5926	0.0000	|  Best result at epoch 2
12	1.8472	0.8035	|	0.7445	0.5577	30.0752	0.0000	|	0.7278	0.5168	32.5926	0.0000	|  Best result at epoch 2
13	1.8895	0.7672	|	0.7235	0.4813	30.0752	0.0000	|	0.7353	0.4611	32.5926	0.0000	|  Best result at epoch 2
14	1.7628	0.7688	|	0.7204	0.4707	30.0752	0.0000	|	0.7366	0.4532	32.5926	0.0000	|  Best result at epoch 2
15	1.6993	0.7681	|	0.7303	0.5086	30.0752	0.0000	|	0.7314	0.4812	32.5926	0.0000	|  Best result at epoch 2
16	1.7484	0.8031	|	0.7058	0.4202	3.0075	0.0000	|	0.7405	0.4166	6.6667	0.0000	|  Best result at epoch 2
17	1.5978	0.7658	|	0.7205	0.4747	30.0752	0.0000	|	0.7336	0.4566	32.5926	0.0000	|  Best result at epoch 2
18	1.6231	0.7635	|	0.7267	0.4988	30.0752	0.0000	|	0.7303	0.4745	32.5926	0.0000	|  Best result at epoch 2
19	1.7162	0.7653	|	0.7187	0.4710	30.0752	0.0000	|	0.7317	0.4549	32.5926	0.0000	|  Best result at epoch 2
20	1.5412	0.8652	|	0.7692	0.6101	30.0752	0.0000	|	0.7283	0.5613	32.5926	0.0000	|  Best result at epoch 2
21	1.6382	0.7615	|	0.7210	0.4831	30.0752	0.0000	|	0.7263	0.4654	32.5926	0.0000	|  Best result at epoch 2
22	1.5153	0.7573	|	0.7216	0.4925	30.0752	0.0000	|	0.7211	0.4733	32.5926	0.0000	|  Best result at epoch 2
23	1.6371	0.7538	|	0.7223	0.5090	30.0752	0.0000	|	0.7134	0.4872	32.5926	0.0000	|  Best result at epoch 2
24	1.5863	0.7574	|	0.7227	0.5323	30.0752	0.0000	|	0.7056	0.5027	32.5926	0.0000	|  Best result at epoch 2
25	1.5441	0.7383	|	0.7066	0.4875	27.0677	0.0000	|	0.7074	0.4702	30.3704	0.0000	|  Best result at epoch 2
26	1.5051	0.7455	|	0.7049	0.4703	24.0602	0.0000	|	0.7078	0.4598	28.1481	0.0000	|  Best result at epoch 2
27	1.3459	0.7383	|	0.6956	0.4754	19.5489	0.0000	|	0.6876	0.4651	25.9259	0.0000	|  Best result at epoch 2
28	1.5302	0.7477	|	0.7174	0.5342	30.0752	0.0000	|	0.6972	0.5055	31.8519	0.0000	|  Best result at epoch 2
29	1.3903	0.7222	|	0.6912	0.4875	21.8045	0.0000	|	0.6840	0.4769	27.4074	0.0000	|  Best result at epoch 2
30	1.4758	0.7378	|	0.7013	0.4824	21.8045	0.0000	|	0.6886	0.4711	26.6667	0.0000	|  Best result at epoch 2
31	1.3896	0.7792	|	0.7413	0.5664	28.5714	0.0000	|	0.7003	0.5425	33.3333	0.0000	|  Best result at epoch 2
32	1.3422	0.7940	|	0.7528	0.5840	30.0752	0.0000	|	0.7137	0.5651	37.7778	0.0000	|  Best result at epoch 2
33	1.4201	0.7728	|	0.7304	0.5496	24.8120	0.0000	|	0.6904	0.5313	31.8519	0.0000	|  Best result at epoch 2
34	1.3817	0.8031	|	0.7579	0.5900	30.8271	0.0000	|	0.7145	0.5655	35.5556	0.0000	|  Best result at epoch 2
35	1.3515	0.7476	|	0.7112	0.5220	22.5564	0.0000	|	0.6819	0.5184	30.3704	0.0000	|  Best result at epoch 2
36	1.3546	0.7452	|	0.7161	0.5353	24.8120	0.0000	|	0.6884	0.5411	34.0741	0.0000	|  Best result at epoch 2
37	1.2680	0.7313	|	0.7111	0.5256	30.8271	0.0000	|	0.6859	0.5316	36.2963	0.0000	|  Best result at epoch 2
38	1.3103	0.8107	|	0.7705	0.6091	33.0827	0.0000	|	0.7236	0.5922	38.5185	0.0000	|  Best result at epoch 2
39	1.4231	0.7267	|	0.7081	0.5135	30.0752	0.0000	|	0.6828	0.5074	34.8148	0.0000	|  Best result at epoch 2
40	1.3015	0.7418	|	0.6878	0.4379	15.7895	0.0000	|	0.6867	0.4424	22.9630	0.0000	|  Best result at epoch 40
41	1.3493	0.7601	|	0.7356	0.5692	30.0752	0.0000	|	0.7051	0.5502	34.8148	0.0000	|  Best result at epoch 40
42	1.2675	0.8684	|	0.8049	0.6670	36.0902	0.0000	|	0.7645	0.6329	39.2593	0.0000	|  Best result at epoch 40
43	1.1953	0.7173	|	0.7001	0.4989	30.0752	0.0000	|	0.6812	0.4985	34.8148	0.0000	|  Best result at epoch 40
44	1.2837	0.7349	|	0.7196	0.5474	30.0752	0.0000	|	0.6931	0.5427	36.2963	0.0000	|  Best result at epoch 40
45	1.2354	0.7167	|	0.6820	0.4634	12.7820	0.0000	|	0.6691	0.4743	22.9630	0.0000	|  Best result at epoch 45
46	1.3033	0.7488	|	0.7240	0.5587	21.8045	0.0000	|	0.6993	0.5657	29.6296	0.0000	|  Best result at epoch 45
47	1.2722	0.7163	|	0.6990	0.5115	18.0451	0.0000	|	0.6758	0.5200	26.6667	0.0000	|  Best result at epoch 45
48	1.2807	0.7166	|	0.6895	0.4981	22.5564	0.0000	|	0.6758	0.5048	30.3704	0.0000	|  Best result at epoch 45
49	1.2772	0.7587	|	0.7391	0.5706	33.0827	0.0000	|	0.7036	0.5641	40.0000	0.0000	|  Best result at epoch 45
50	1.3042	0.7152	|	0.6959	0.5223	31.5789	0.0000	|	0.6859	0.5311	36.2963	0.0000	|  Best result at epoch 45
51	1.1828	0.7626	|	0.7396	0.5779	32.3308	0.0000	|	0.7137	0.5910	37.7778	0.0000	|  Best result at epoch 45
52	1.1363	0.7043	|	0.6796	0.4981	30.0752	0.0000	|	0.6708	0.5122	34.8148	0.0000	|  Best result at epoch 52
53	1.2690	0.7124	|	0.6883	0.4895	30.0752	0.0000	|	0.6689	0.4911	32.5926	0.0000	|  Best result at epoch 52
54	1.2320	0.7751	|	0.7526	0.5871	31.5789	0.0000	|	0.7101	0.5714	39.2593	0.0000	|  Best result at epoch 52
55	1.2403	0.7621	|	0.7438	0.5812	32.3308	0.0000	|	0.7087	0.5722	40.0000	0.0000	|  Best result at epoch 52
