epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	25.7391	12.9915	|	3.0497	0.9195	0.0000	0.0000	|	3.2240	0.9266	0.0000	0.0000	|  Best result at epoch 0
1	24.1337	11.7315	|	2.8358	0.8231	0.0000	0.0000	|	3.0118	0.8395	0.0000	0.0000	|  Best result at epoch 1
2	22.1155	8.3000	|	2.1806	0.5477	18.5714	0.0000	|	2.3706	0.5895	13.8889	0.0000	|  Best result at epoch 2
3	17.6468	5.0357	|	1.6218	0.5153	35.7143	0.0000	|	1.7395	0.4851	25.0000	0.0000	|  Best result at epoch 3
4	13.8709	3.9952	|	1.4781	0.5692	31.4286	0.0000	|	1.5171	0.4975	31.9444	0.0000	|  Best result at epoch 4
5	12.7243	7.9943	|	2.4695	1.4416	24.2857	0.0000	|	2.1170	1.1427	27.7778	0.0000	|  Best result at epoch 4
6	9.8418	4.6840	|	1.8943	1.0500	21.4286	0.0000	|	1.6704	0.8187	34.7222	0.0000	|  Best result at epoch 4
7	11.3527	3.8446	|	1.6964	0.8627	21.4286	0.0000	|	1.5312	0.6806	41.6667	0.0000	|  Best result at epoch 4
8	10.3706	3.9883	|	1.7487	0.9104	21.4286	0.0000	|	1.5773	0.7210	36.1111	0.0000	|  Best result at epoch 4
9	11.0113	3.8024	|	1.6848	0.8546	25.7143	0.0000	|	1.5447	0.6883	37.5000	0.0000	|  Best result at epoch 4
10	11.1843	5.5397	|	2.0446	1.1694	24.2857	0.0000	|	1.7625	0.9276	27.7778	0.0000	|  Best result at epoch 4
11	10.9417	4.1668	|	1.7991	0.9474	22.8571	0.0000	|	1.5796	0.7370	34.7222	0.0000	|  Best result at epoch 4
12	10.9337	3.8834	|	1.4590	0.5982	28.5714	0.0000	|	1.4654	0.5072	31.9444	0.0000	|  Best result at epoch 12
13	9.9412	4.4944	|	1.8778	1.0148	24.2857	0.0000	|	1.6391	0.8002	31.9444	0.0000	|  Best result at epoch 12
14	9.0369	3.9693	|	1.7453	0.8958	22.8571	0.0000	|	1.5480	0.7090	40.2778	0.0000	|  Best result at epoch 12
15	9.9478	10.3198	|	2.8912	1.6552	25.7143	0.0000	|	2.5827	1.3530	19.4444	0.0000	|  Best result at epoch 12
16	12.7659	4.6640	|	1.9116	1.0471	24.2857	0.0000	|	1.6771	0.8406	27.7778	0.0000	|  Best result at epoch 12
17	9.4211	3.7794	|	1.6661	0.8252	25.7143	0.0000	|	1.4988	0.6607	37.5000	0.0000	|  Best result at epoch 12
18	8.6619	3.6765	|	1.5231	0.6952	25.7143	0.0000	|	1.3986	0.5628	29.1667	0.0000	|  Best result at epoch 12
19	8.4262	4.3169	|	1.8407	0.9800	24.2857	0.0000	|	1.6193	0.7846	27.7778	0.0000	|  Best result at epoch 12
20	9.6115	5.2531	|	2.0097	1.1322	24.2857	0.0000	|	1.7687	0.9179	27.7778	0.0000	|  Best result at epoch 12
21	8.9325	6.8683	|	2.2330	1.3178	24.2857	0.0000	|	2.0082	1.0787	27.7778	0.0000	|  Best result at epoch 12
22	9.3610	5.0001	|	1.9710	1.0958	24.2857	0.0000	|	1.7445	0.8930	27.7778	0.0000	|  Best result at epoch 12
23	9.3335	4.6748	|	1.9142	1.0447	24.2857	0.0000	|	1.6789	0.8467	27.7778	0.0000	|  Best result at epoch 12
24	9.3188	3.7696	|	1.6490	0.8052	25.7143	0.0000	|	1.4834	0.6520	37.5000	0.0000	|  Best result at epoch 12
25	8.7594	4.2168	|	1.8151	0.9565	24.2857	0.0000	|	1.5989	0.7667	36.1111	0.0000	|  Best result at epoch 12
26	8.7971	3.9885	|	1.4890	0.5822	25.7143	0.0000	|	1.4824	0.5045	29.1667	0.0000	|  Best result at epoch 12
27	9.0372	3.9369	|	1.7310	0.8812	14.2857	0.0000	|	1.5398	0.7082	43.0556	0.0000	|  Best result at epoch 12
28	8.2855	3.6858	|	1.5191	0.6903	25.7143	0.0000	|	1.3946	0.5621	37.5000	0.0000	|  Best result at epoch 12
29	8.5992	8.5438	|	2.5747	1.4941	24.2857	0.0000	|	2.3211	1.2272	26.3889	0.0000	|  Best result at epoch 12
30	8.4888	5.6864	|	2.0676	1.1884	24.2857	0.0000	|	1.8469	0.9726	27.7778	0.0000	|  Best result at epoch 12
31	8.8247	4.0590	|	1.7713	0.9198	20.0000	0.0000	|	1.5700	0.7384	37.5000	0.0000	|  Best result at epoch 12
32	7.8761	3.8238	|	1.6829	0.8396	25.7143	0.0000	|	1.5014	0.6758	37.5000	0.0000	|  Best result at epoch 12
33	7.8136	3.8881	|	1.7104	0.8642	14.2857	0.0000	|	1.5104	0.6886	44.4444	0.0000	|  Best result at epoch 12
34	7.7134	6.7273	|	2.2098	1.3051	24.2857	0.0000	|	1.9376	1.0502	27.7778	0.0000	|  Best result at epoch 12
35	7.8912	4.7572	|	1.9241	1.0549	24.2857	0.0000	|	1.6676	0.8495	27.7778	0.0000	|  Best result at epoch 12
36	7.8737	3.9917	|	1.7408	0.8900	21.4286	0.0000	|	1.5177	0.7059	40.2778	0.0000	|  Best result at epoch 12
37	7.5702	8.7810	|	2.6197	1.5158	24.2857	0.0000	|	2.2685	1.2138	27.7778	0.0000	|  Best result at epoch 12
38	9.0370	5.0174	|	1.9608	1.0985	24.2857	0.0000	|	1.6631	0.8649	27.7778	0.0000	|  Best result at epoch 12
39	8.5017	4.1199	|	1.7753	0.9242	25.7143	0.0000	|	1.5425	0.7319	38.8889	0.0000	|  Best result at epoch 12
40	7.6168	4.1391	|	1.7802	0.9309	24.2857	0.0000	|	1.5330	0.7289	37.5000	0.0000	|  Best result at epoch 12
41	8.0445	5.8125	|	2.0739	1.1990	24.2857	0.0000	|	1.7371	0.9409	27.7778	0.0000	|  Best result at epoch 12
42	8.4436	3.9396	|	1.4739	0.5996	25.7143	0.0000	|	1.4525	0.5118	29.1667	0.0000	|  Best result at epoch 12
43	9.2995	3.8972	|	1.6929	0.8560	22.8571	0.0000	|	1.4922	0.6801	38.8889	0.0000	|  Best result at epoch 12
44	7.2935	9.0664	|	2.6745	1.5410	24.2857	0.0000	|	2.2599	1.2166	27.7778	0.0000	|  Best result at epoch 12
45	8.8897	3.8803	|	1.6803	0.8468	22.8571	0.0000	|	1.4803	0.6696	38.8889	0.0000	|  Best result at epoch 12
46	7.5451	3.7513	|	1.5260	0.6980	25.7143	0.0000	|	1.3989	0.5742	37.5000	0.0000	|  Best result at epoch 12
47	7.9526	3.9430	|	1.7028	0.8683	30.0000	0.0000	|	1.5138	0.6961	38.8889	0.0000	|  Best result at epoch 12
48	7.4633	3.7187	|	1.5839	0.7687	27.1429	0.0000	|	1.4175	0.6048	36.1111	0.0000	|  Best result at epoch 12
49	7.2532	3.7903	|	1.6235	0.8035	22.8571	0.0000	|	1.4324	0.6268	40.2778	0.0000	|  Best result at epoch 12
50	7.6361	4.6598	|	1.8734	1.0332	27.1429	0.0000	|	1.5893	0.7939	37.5000	0.0000	|  Best result at epoch 12
51	7.9281	3.8908	|	1.6703	0.8382	22.8571	0.0000	|	1.4555	0.6481	40.2778	0.0000	|  Best result at epoch 12
52	8.0889	8.6894	|	2.6015	1.5040	24.2857	0.0000	|	2.1105	1.1507	27.7778	0.0000	|  Best result at epoch 12
53	8.6245	5.6727	|	2.0372	1.1804	24.2857	0.0000	|	1.6807	0.8978	26.3889	0.0000	|  Best result at epoch 12
54	7.6307	4.3471	|	1.8153	0.9705	25.7143	0.0000	|	1.5324	0.7387	40.2778	0.0000	|  Best result at epoch 12
55	7.0974	5.2077	|	1.9764	1.1167	24.2857	0.0000	|	1.6308	0.8483	31.9444	0.0000	|  Best result at epoch 12
56	7.3700	5.3690	|	1.9979	1.1333	24.2857	0.0000	|	1.6685	0.8813	26.3889	0.0000	|  Best result at epoch 12
57	7.3348	6.3537	|	2.1408	1.2571	24.2857	0.0000	|	1.7798	0.9682	27.7778	0.0000	|  Best result at epoch 12
58	7.4734	3.8428	|	1.5784	0.7338	25.7143	0.0000	|	1.4081	0.5830	36.1111	0.0000	|  Best result at epoch 12
59	7.7901	7.2111	|	2.2923	1.3473	24.2857	0.0000	|	1.8078	1.0011	27.7778	0.0000	|  Best result at epoch 12
60	7.9911	3.9026	|	1.5941	0.7401	24.2857	0.0000	|	1.4082	0.5849	36.1111	0.0000	|  Best result at epoch 12
61	7.3609	5.4225	|	1.9994	1.1289	25.7143	0.0000	|	1.6410	0.8595	33.3333	0.0000	|  Best result at epoch 12
62	6.9731	5.5634	|	2.0199	1.1470	24.2857	0.0000	|	1.6184	0.8534	38.8889	0.0000	|  Best result at epoch 12
63	7.9441	4.3880	|	1.8153	0.9605	22.8571	0.0000	|	1.5295	0.7372	37.5000	0.0000	|  Best result at epoch 12
64	6.4739	8.7541	|	2.6042	1.4979	24.2857	0.0000	|	1.9934	1.1119	29.1667	0.0000	|  Best result at epoch 12
65	7.4150	6.1200	|	2.1030	1.2254	24.2857	0.0000	|	1.7209	0.9333	27.7778	0.0000	|  Best result at epoch 12
66	8.0164	4.1561	|	1.7270	0.8796	20.0000	0.0000	|	1.4914	0.6846	38.8889	0.0000	|  Best result at epoch 12
67	7.8882	3.9422	|	1.5044	0.6511	25.7143	0.0000	|	1.4234	0.5373	29.1667	0.0000	|  Best result at epoch 12
68	7.4990	4.0234	|	1.7006	0.8554	18.5714	0.0000	|	1.4759	0.6637	38.8889	0.0000	|  Best result at epoch 12
69	7.3395	4.2636	|	1.7786	0.9285	22.8571	0.0000	|	1.5051	0.7091	37.5000	0.0000	|  Best result at epoch 12
70	6.8321	6.0514	|	2.0938	1.2080	25.7143	0.0000	|	1.6696	0.8935	36.1111	0.0000	|  Best result at epoch 12
71	7.3371	3.8676	|	1.5449	0.7150	27.1429	0.0000	|	1.4184	0.5612	27.7778	0.0000	|  Best result at epoch 12
72	7.9343	4.1467	|	1.7066	0.8643	25.7143	0.0000	|	1.4795	0.6721	40.2778	0.0000	|  Best result at epoch 12
73	6.3320	7.6412	|	2.3908	1.3833	24.2857	0.0000	|	1.8549	1.0293	27.7778	0.0000	|  Best result at epoch 12
74	8.2749	4.0256	|	1.7057	0.8742	27.1429	0.0000	|	1.4865	0.6789	40.2778	0.0000	|  Best result at epoch 12
75	6.4731	9.2536	|	2.6977	1.5475	24.2857	0.0000	|	2.1088	1.1599	29.1667	0.0000	|  Best result at epoch 12
76	9.2118	4.2098	|	1.7757	0.9404	22.8571	0.0000	|	1.5239	0.7260	34.7222	0.0000	|  Best result at epoch 12
77	7.2048	6.7250	|	2.2131	1.2944	24.2857	0.0000	|	1.7539	0.9711	27.7778	0.0000	|  Best result at epoch 12
78	7.1037	4.3035	|	1.7737	0.9340	22.8571	0.0000	|	1.4943	0.7010	36.1111	0.0000	|  Best result at epoch 12
79	6.5883	4.4100	|	1.7920	0.9655	22.8571	0.0000	|	1.4654	0.7000	38.8889	0.0000	|  Best result at epoch 12
80	6.5141	5.4402	|	1.9942	1.1439	24.2857	0.0000	|	1.5788	0.8294	38.8889	0.0000	|  Best result at epoch 12
81	7.0723	4.5519	|	1.8209	1.0060	24.2857	0.0000	|	1.4718	0.7194	38.8889	0.0000	|  Best result at epoch 12
82	6.7047	4.1551	|	1.7116	0.8868	24.2857	0.0000	|	1.4249	0.6471	30.5556	0.0000	|  Best result at epoch 12
83	6.3602	7.0415	|	2.2830	1.3402	24.2857	0.0000	|	1.7925	0.9948	31.9444	0.0000	|  Best result at epoch 12
84	7.2522	11.3517	|	3.0557	1.7230	15.7143	0.0000	|	2.2672	1.2593	26.3889	0.0000	|  Best result at epoch 12
