epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	9.0942	5.8918	|	2.0010	0.6979	0.0000	0.0000	|	2.0819	0.7140	0.0000	0.0000	|  Best result at epoch 0
1	5.9289	1.9444	|	1.1330	0.5779	36.0119	0.0000	|	1.0814	0.5325	43.3234	0.0000	|  Best result at epoch 1
2	4.1959	2.3284	|	1.1685	0.4875	23.8095	0.0000	|	1.1569	0.4504	27.5964	0.0000	|  Best result at epoch 1
3	3.7578	2.3066	|	1.1599	0.4871	23.8095	0.0000	|	1.1513	0.4485	27.5964	0.0000	|  Best result at epoch 1
4	3.3322	2.2655	|	1.1453	0.4881	23.8095	0.0000	|	1.1338	0.4470	27.5964	0.0000	|  Best result at epoch 1
5	3.2977	1.9359	|	1.1351	0.5766	53.5714	0.0000	|	1.1020	0.5196	58.1602	0.0000	|  Best result at epoch 1
6	3.1833	1.8790	|	1.1419	0.6364	31.2500	0.0000	|	1.1013	0.5717	32.3442	0.0000	|  Best result at epoch 1
7	3.0283	1.8801	|	1.1406	0.6290	33.6310	0.0000	|	1.1029	0.5650	35.9050	0.0000	|  Best result at epoch 1
8	3.0016	1.8814	|	1.1413	0.6296	32.4405	0.0000	|	1.1033	0.5657	35.0148	0.0000	|  Best result at epoch 1
9	2.8476	1.9877	|	1.1521	0.7277	29.7619	0.0000	|	1.1006	0.6507	30.5638	0.0000	|  Best result at epoch 1
10	2.8320	1.9095	|	1.1441	0.6949	29.7619	0.0000	|	1.0964	0.6223	30.5638	0.0000	|  Best result at epoch 1
11	2.7614	2.3078	|	1.3017	0.8650	30.3571	0.0000	|	1.2519	0.7788	30.5638	0.0000	|  Best result at epoch 1
12	2.6841	1.8875	|	1.1379	0.7015	30.3571	0.0000	|	1.0798	0.6296	31.1573	0.0000	|  Best result at epoch 1
13	2.6313	2.0335	|	1.1174	0.5246	28.8690	0.0000	|	1.0819	0.4749	33.5312	0.0000	|  Best result at epoch 13
14	2.5692	1.8385	|	1.1301	0.6395	36.6071	0.0000	|	1.0800	0.5752	40.3561	0.0000	|  Best result at epoch 13
