epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	29.5616	26.8086	|	4.5265	0.9273	0.0000	0.0000	|	4.1198	0.9165	0.0000	0.0000	|  Best result at epoch 0
1	27.2686	24.1801	|	4.2263	0.8224	0.0000	0.0000	|	3.8197	0.7960	0.0000	0.0000	|  Best result at epoch 1
2	23.9087	17.7424	|	3.5041	0.6507	0.0000	0.0000	|	3.1304	0.6139	0.0000	0.0000	|  Best result at epoch 2
3	17.1582	12.3833	|	2.9174	0.6561	20.3390	0.0000	|	2.6530	0.6701	22.7778	0.0000	|  Best result at epoch 3
4	15.0071	8.7231	|	2.4274	0.6959	19.7740	0.0000	|	2.3264	0.7872	18.3333	0.0000	|  Best result at epoch 4
5	13.8507	11.1630	|	2.7588	0.6609	19.7740	0.0000	|	2.5332	0.6976	20.5556	0.0000	|  Best result at epoch 4
6	12.1819	6.8167	|	2.2416	0.8228	31.6384	0.0000	|	2.2697	0.9794	27.7778	0.0000	|  Best result at epoch 6
7	12.8504	7.2507	|	2.2984	0.7852	28.2486	0.0000	|	2.2864	0.9214	25.0000	0.0000	|  Best result at epoch 6
8	11.4816	7.0906	|	2.2791	0.7996	31.6384	0.0000	|	2.2793	0.9427	27.7778	0.0000	|  Best result at epoch 6
9	11.9824	9.0491	|	2.4512	0.6824	19.7740	0.0000	|	2.3304	0.7649	18.3333	0.0000	|  Best result at epoch 6
10	11.0211	8.5209	|	2.4139	0.7075	19.7740	0.0000	|	2.3199	0.8033	18.3333	0.0000	|  Best result at epoch 6
11	11.7767	6.3439	|	2.1225	0.9037	31.6384	0.0000	|	2.2345	1.1020	27.7778	0.0000	|  Best result at epoch 11
12	11.2183	6.7013	|	2.2227	0.8362	31.6384	0.0000	|	2.2640	0.9993	27.7778	0.0000	|  Best result at epoch 11
13	10.2502	6.5293	|	2.1085	1.0242	31.6384	0.0000	|	2.3117	1.2692	27.7778	0.0000	|  Best result at epoch 13
14	10.8721	8.5930	|	2.4189	0.7033	19.7740	0.0000	|	2.3214	0.7969	18.3333	0.0000	|  Best result at epoch 13
15	10.8081	7.4266	|	2.3183	0.7716	19.7740	0.0000	|	2.2916	0.9005	18.3333	0.0000	|  Best result at epoch 13
16	10.4074	6.4555	|	2.1685	0.8726	31.6384	0.0000	|	2.2488	1.0547	27.7778	0.0000	|  Best result at epoch 13
17	10.3613	6.8125	|	2.2414	0.8231	31.6384	0.0000	|	2.2695	0.9793	27.7778	0.0000	|  Best result at epoch 13
18	10.5308	7.8584	|	2.3594	0.7428	19.7740	0.0000	|	2.3039	0.8567	18.3333	0.0000	|  Best result at epoch 13
19	10.1432	6.3903	|	2.0368	0.9717	31.6384	0.0000	|	2.2199	1.2042	27.7778	0.0000	|  Best result at epoch 19
20	9.5859	6.3345	|	2.0581	0.9480	31.6384	0.0000	|	2.2151	1.1696	27.7778	0.0000	|  Best result at epoch 19
21	9.5539	6.6703	|	2.2170	0.8403	31.6384	0.0000	|	2.2613	1.0064	27.7778	0.0000	|  Best result at epoch 19
22	9.9043	7.1007	|	2.2853	0.8004	27.1186	0.0000	|	2.2813	0.9485	26.6667	0.0000	|  Best result at epoch 19
23	8.9355	6.3397	|	2.0912	0.9284	31.6384	0.0000	|	2.2244	1.1415	27.7778	0.0000	|  Best result at epoch 19
24	9.7748	7.0922	|	2.2785	0.7971	31.6384	0.0000	|	2.2776	0.9387	28.3333	0.0000	|  Best result at epoch 19
25	8.8554	6.3691	|	2.0429	0.9589	31.6384	0.0000	|	2.2089	1.1859	27.7778	0.0000	|  Best result at epoch 19
26	9.8484	6.9060	|	2.2543	0.8138	31.6384	0.0000	|	2.2722	0.9643	27.7778	0.0000	|  Best result at epoch 19
27	9.1060	6.3430	|	2.0861	0.9320	31.6384	0.0000	|	2.2217	1.1453	27.7778	0.0000	|  Best result at epoch 19
28	9.8363	6.4861	|	2.1742	0.8684	31.6384	0.0000	|	2.2457	1.0470	27.7778	0.0000	|  Best result at epoch 19
29	8.2050	6.4566	|	2.1669	0.8726	31.6384	0.0000	|	2.2443	1.0530	27.7778	0.0000	|  Best result at epoch 19
30	8.8617	6.3248	|	2.0822	0.9318	31.6384	0.0000	|	2.2201	1.1439	27.7778	0.0000	|  Best result at epoch 19
31	8.9157	6.3183	|	2.0865	0.9268	31.6384	0.0000	|	2.2199	1.1356	27.7778	0.0000	|  Best result at epoch 19
32	8.4057	6.4249	|	2.1537	0.8821	31.6384	0.0000	|	2.2373	1.0678	27.7778	0.0000	|  Best result at epoch 19
33	8.3998	7.0616	|	2.2745	0.8001	32.2034	0.0000	|	2.2765	0.9429	28.8889	0.0000	|  Best result at epoch 19
34	8.6365	6.3493	|	2.1247	0.9020	31.6384	0.0000	|	2.2319	1.0979	27.7778	0.0000	|  Best result at epoch 19
35	8.5150	6.3221	|	2.0976	0.9192	31.6384	0.0000	|	2.2226	1.1235	27.7778	0.0000	|  Best result at epoch 19
36	8.3792	6.3182	|	2.0758	0.9343	31.6384	0.0000	|	2.2172	1.1468	27.7778	0.0000	|  Best result at epoch 19
37	8.9870	7.0032	|	2.2688	0.8045	31.6384	0.0000	|	2.2756	0.9506	28.3333	0.0000	|  Best result at epoch 19
38	8.1303	6.4233	|	2.1582	0.8786	31.6384	0.0000	|	2.2409	1.0631	27.7778	0.0000	|  Best result at epoch 19
39	8.8709	6.3299	|	2.0461	0.9555	31.6384	0.0000	|	2.2086	1.1791	27.7778	0.0000	|  Best result at epoch 19
40	8.5195	6.9942	|	2.2670	0.8032	31.6384	0.0000	|	2.2756	0.9493	27.2222	0.0000	|  Best result at epoch 19
41	8.4569	6.3348	|	2.1268	0.8980	31.6384	0.0000	|	2.2294	1.0923	27.7778	0.0000	|  Best result at epoch 19
42	8.6134	6.4645	|	2.1719	0.8668	31.6384	0.0000	|	2.2446	1.0454	27.7778	0.0000	|  Best result at epoch 19
43	8.2158	6.6556	|	2.2124	0.8386	31.6384	0.0000	|	2.2549	1.0021	27.7778	0.0000	|  Best result at epoch 19
44	7.8749	6.2972	|	2.1013	0.9110	31.6384	0.0000	|	2.2176	1.1101	27.7778	0.0000	|  Best result at epoch 19
45	8.3536	7.1129	|	2.2814	0.7932	28.8136	0.0000	|	2.2753	0.9331	26.6667	0.0000	|  Best result at epoch 19
46	8.5255	6.5397	|	2.1884	0.8553	31.6384	0.0000	|	2.2482	1.0268	27.7778	0.0000	|  Best result at epoch 19
47	7.8182	6.4896	|	2.1814	0.8572	31.6384	0.0000	|	2.2451	1.0300	27.7778	0.0000	|  Best result at epoch 19
48	8.3021	6.2493	|	2.0646	0.9325	31.6384	0.0000	|	2.2098	1.1420	27.7778	0.0000	|  Best result at epoch 19
49	8.0357	6.5684	|	2.1959	0.8454	31.6384	0.0000	|	2.2494	1.0112	27.7778	0.0000	|  Best result at epoch 19
50	7.5692	6.2690	|	2.1008	0.9267	31.6384	0.0000	|	2.2318	1.1317	27.7778	0.0000	|  Best result at epoch 19
51	7.6697	6.5852	|	2.1520	1.0684	31.6384	0.0000	|	2.3753	1.3099	27.7778	0.0000	|  Best result at epoch 19
52	8.0592	6.1999	|	2.0892	0.9105	31.6384	0.0000	|	2.2236	1.1042	27.7778	0.0000	|  Best result at epoch 19
53	7.8533	6.5052	|	2.1742	0.8443	33.3333	0.0000	|	2.2478	1.0004	27.2222	0.0000	|  Best result at epoch 19
54	7.6738	6.2979	|	2.1270	0.8804	31.6384	0.0000	|	2.2258	1.0569	28.3333	0.0000	|  Best result at epoch 19
55	8.0743	6.2012	|	2.0911	0.9166	31.6384	0.0000	|	2.2229	1.1111	27.7778	0.0000	|  Best result at epoch 19
56	7.8268	6.2124	|	2.1046	0.9011	31.6384	0.0000	|	2.2267	1.0882	27.7778	0.0000	|  Best result at epoch 19
57	7.5243	6.1837	|	2.0787	0.9675	31.6384	0.0000	|	2.2643	1.1779	27.7778	0.0000	|  Best result at epoch 19
58	7.9948	6.6525	|	2.2143	0.8280	31.6384	0.0000	|	2.2581	0.9813	27.7778	0.0000	|  Best result at epoch 19
59	7.7953	6.2080	|	2.0949	0.9051	31.6384	0.0000	|	2.2274	1.0958	27.7778	0.0000	|  Best result at epoch 19
