epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	39.4612	57.8199	|	6.4691	0.9737	0.0000	0.0000	|	6.4478	0.9705	0.0000	0.0000	|  Best result at epoch 0
1	38.4658	56.9824	|	6.4041	0.9576	0.0000	0.0000	|	6.3828	0.9525	0.0000	0.0000	|  Best result at epoch 1
2	37.8198	56.2373	|	6.3456	0.9431	0.0000	0.0000	|	6.3243	0.9363	0.0000	0.0000	|  Best result at epoch 2
3	37.2343	55.5602	|	6.2920	0.9298	0.0000	0.0000	|	6.2708	0.9215	0.0000	0.0000	|  Best result at epoch 3
4	36.6934	54.9014	|	6.2395	0.9168	0.0000	0.0000	|	6.2182	0.9069	0.0000	0.0000	|  Best result at epoch 4
5	36.1699	54.2865	|	6.1900	0.9045	0.0000	0.0000	|	6.1687	0.8932	0.0000	0.0000	|  Best result at epoch 5
6	35.6735	53.6668	|	6.1397	0.8921	0.0000	0.0000	|	6.1185	0.8792	0.0000	0.0000	|  Best result at epoch 6
7	35.1748	52.9829	|	6.0838	0.8782	0.0000	0.0000	|	6.0625	0.8637	0.0000	0.0000	|  Best result at epoch 7
8	33.9787	44.4578	|	5.3627	0.7197	4.1096	0.0000	|	5.3646	0.7144	8.1081	0.0000	|  Best result at epoch 8
9	24.3946	16.5698	|	3.2732	0.7770	31.5068	0.0000	|	3.2557	0.9616	37.8378	0.0000	|  Best result at epoch 9
10	18.8200	20.0607	|	3.3451	0.6321	26.7123	0.0000	|	3.3182	0.7852	28.3784	0.0000	|  Best result at epoch 9
11	16.9125	21.3759	|	3.4571	0.6148	28.0822	0.0000	|	3.4538	0.7627	29.0541	0.0000	|  Best result at epoch 9
12	18.1041	16.3244	|	3.2847	0.7922	33.5616	0.0000	|	3.2395	0.9804	39.1892	0.0000	|  Best result at epoch 9
13	16.7236	18.6591	|	3.2312	0.6582	26.7123	0.0000	|	3.1934	0.8185	28.3784	0.0000	|  Best result at epoch 13
14	18.3450	25.0491	|	3.7144	0.5757	19.1781	0.0000	|	3.7770	0.7113	15.5405	0.0000	|  Best result at epoch 13
15	16.7428	19.3336	|	3.2816	0.6430	26.7123	0.0000	|	3.2462	0.7981	28.3784	0.0000	|  Best result at epoch 13
16	17.1854	18.8708	|	3.2417	0.6514	26.7123	0.0000	|	3.2010	0.8096	28.3784	0.0000	|  Best result at epoch 13
17	14.8891	17.9023	|	3.2069	0.6856	26.7123	0.0000	|	3.1716	0.8529	28.3784	0.0000	|  Best result at epoch 17
18	15.6076	17.3162	|	3.2310	0.7191	26.7123	0.0000	|	3.1928	0.8923	28.3784	0.0000	|  Best result at epoch 17
19	15.5616	20.8348	|	3.4189	0.6226	26.7123	0.0000	|	3.4174	0.7707	28.3784	0.0000	|  Best result at epoch 17
20	14.2618	22.7571	|	3.5669	0.6000	28.0822	0.0000	|	3.5963	0.7415	29.7297	0.0000	|  Best result at epoch 17
21	14.7083	22.6044	|	3.5564	0.6012	28.0822	0.0000	|	3.5786	0.7437	29.7297	0.0000	|  Best result at epoch 17
22	14.5534	17.9865	|	3.2029	0.6809	26.7123	0.0000	|	3.1624	0.8478	28.3784	0.0000	|  Best result at epoch 22
23	13.7827	19.0855	|	3.2598	0.6477	26.7123	0.0000	|	3.2126	0.8034	28.3784	0.0000	|  Best result at epoch 22
24	14.2422	18.8012	|	3.2383	0.6524	26.7123	0.0000	|	3.1864	0.8114	28.3784	0.0000	|  Best result at epoch 22
25	14.2685	24.2950	|	3.6708	0.5832	21.2329	0.0000	|	3.7171	0.7204	22.2973	0.0000	|  Best result at epoch 22
26	15.3306	18.2761	|	3.2128	0.6675	26.7123	0.0000	|	3.1696	0.8317	28.3784	0.0000	|  Best result at epoch 22
27	13.9611	16.9548	|	3.2064	0.7290	28.0822	0.0000	|	3.1648	0.9082	31.7568	0.0000	|  Best result at epoch 22
28	14.0883	23.4955	|	3.6158	0.5904	22.6027	0.0000	|	3.6461	0.7303	23.6486	0.0000	|  Best result at epoch 22
29	15.3111	22.3743	|	3.5348	0.6019	25.3425	0.0000	|	3.5576	0.7450	28.3784	0.0000	|  Best result at epoch 22
30	12.9156	16.9765	|	3.1885	0.7218	28.0822	0.0000	|	3.1640	0.8982	31.7568	0.0000	|  Best result at epoch 30
31	13.9586	19.3222	|	3.2891	0.6417	26.7123	0.0000	|	3.2446	0.7967	28.3784	0.0000	|  Best result at epoch 30
32	13.6537	16.9636	|	3.2024	0.7265	28.0822	0.0000	|	3.1578	0.9021	28.3784	0.0000	|  Best result at epoch 30
33	13.3154	16.1275	|	3.2425	0.7886	30.1370	0.0000	|	3.1856	0.9753	35.1351	0.0000	|  Best result at epoch 30
34	13.4353	19.5492	|	3.3080	0.6376	26.7123	0.0000	|	3.2561	0.7911	28.3784	0.0000	|  Best result at epoch 30
35	12.9842	16.5013	|	3.2182	0.7556	28.7671	0.0000	|	3.1615	0.9389	35.8108	0.0000	|  Best result at epoch 30
36	13.4987	18.0713	|	3.2098	0.6737	26.7123	0.0000	|	3.1501	0.8392	28.3784	0.0000	|  Best result at epoch 30
37	13.1271	21.5577	|	3.4731	0.6105	26.0274	0.0000	|	3.4687	0.7562	30.4054	0.0000	|  Best result at epoch 30
38	12.8656	20.4504	|	3.3832	0.6241	26.7123	0.0000	|	3.3694	0.7731	28.3784	0.0000	|  Best result at epoch 30
39	13.7456	20.4821	|	3.3841	0.6235	27.3973	0.0000	|	3.3697	0.7723	29.0541	0.0000	|  Best result at epoch 30
40	13.0474	20.2743	|	3.3673	0.6264	26.7123	0.0000	|	3.3367	0.7759	29.0541	0.0000	|  Best result at epoch 30
41	13.4348	16.7021	|	3.1890	0.7345	27.3973	0.0000	|	3.1199	0.9110	34.4595	0.0000	|  Best result at epoch 30
42	12.9722	16.5272	|	3.1780	0.7438	27.3973	0.0000	|	3.1296	0.9200	34.4595	0.0000	|  Best result at epoch 42
43	12.9862	19.5135	|	3.3073	0.6384	26.7123	0.0000	|	3.2747	0.7901	28.3784	0.0000	|  Best result at epoch 42
44	12.3073	15.9739	|	3.2323	0.7991	29.4521	0.0000	|	3.1507	0.9830	33.7838	0.0000	|  Best result at epoch 42
45	12.8615	17.6304	|	3.1952	0.6937	28.0822	0.0000	|	3.1426	0.8600	31.0811	0.0000	|  Best result at epoch 42
46	12.4131	16.0829	|	3.2149	0.7906	30.1370	0.0000	|	3.1351	0.9700	34.4595	0.0000	|  Best result at epoch 42
47	12.4311	18.5079	|	3.2343	0.6718	28.7671	0.0000	|	3.1726	0.8304	31.7568	0.0000	|  Best result at epoch 42
48	11.9307	15.5072	|	3.2246	0.8554	30.1370	0.0000	|	3.1826	1.0462	27.0270	0.0000	|  Best result at epoch 42
