epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	13.2877	7.2212	|	1.9739	0.6001	28.3688	0.0000	|	1.6861	0.5833	37.7652	0.0000	|  Best result at epoch 0
1	8.5570	6.2732	|	1.8557	0.6595	29.0780	0.0000	|	1.6726	0.6842	23.3380	0.0000	|  Best result at epoch 1
2	7.4096	5.9717	|	1.8034	0.6842	28.3688	0.0000	|	1.6664	0.7257	22.2065	0.0000	|  Best result at epoch 2
3	7.0738	6.2682	|	1.8528	0.6587	28.5106	0.0000	|	1.6805	0.6847	22.3479	0.0000	|  Best result at epoch 2
4	6.7018	5.3859	|	1.9978	0.9951	22.5532	0.0000	|	1.9997	1.0945	19.2362	0.0000	|  Best result at epoch 2
5	6.3344	5.6911	|	1.7748	0.7116	28.7943	0.0000	|	1.6773	0.7647	22.2065	0.0000	|  Best result at epoch 5
6	6.0773	5.2043	|	1.9398	0.9715	23.6879	0.0000	|	1.9448	1.0705	20.7921	0.0000	|  Best result at epoch 5
7	5.9835	5.4286	|	1.7679	0.7346	31.6312	0.0000	|	1.6933	0.7962	24.6110	0.0000	|  Best result at epoch 7
8	5.6835	5.7166	|	1.7715	0.6900	32.7660	0.0000	|	1.6561	0.7324	26.4498	0.0000	|  Best result at epoch 7
9	5.6179	5.2674	|	1.9903	1.0750	22.4113	0.0000	|	2.0574	1.2067	20.9335	0.0000	|  Best result at epoch 7
10	5.6434	5.1198	|	1.8447	0.8668	28.9362	0.0000	|	1.8288	0.9522	21.2164	0.0000	|  Best result at epoch 7
11	5.4851	5.0372	|	1.8831	0.9436	23.8298	0.0000	|	1.9051	1.0447	21.7822	0.0000	|  Best result at epoch 7
12	5.2782	5.0531	|	1.7970	0.8309	27.5177	0.0000	|	1.7805	0.9220	22.6308	0.0000	|  Best result at epoch 7
13	5.3637	4.9920	|	1.8654	0.9403	24.3972	0.0000	|	1.8769	1.0455	22.6308	0.0000	|  Best result at epoch 7
14	5.3089	5.0998	|	1.8282	0.8521	27.6596	0.0000	|	1.8075	0.9431	22.9137	0.0000	|  Best result at epoch 7
15	5.2650	5.0435	|	1.8905	0.9729	22.9787	0.0000	|	1.9154	1.0870	22.0651	0.0000	|  Best result at epoch 7
16	5.2413	5.1196	|	1.8846	0.9165	25.8156	0.0000	|	1.8690	1.0123	22.9137	0.0000	|  Best result at epoch 7
17	5.1239	5.0557	|	1.8992	0.9892	23.1206	0.0000	|	1.9288	1.0987	21.4993	0.0000	|  Best result at epoch 7
18	5.0756	5.0634	|	1.8795	0.9273	24.3972	0.0000	|	1.8880	1.0323	21.9236	0.0000	|  Best result at epoch 7
19	5.0304	5.0892	|	1.7988	0.8243	29.6454	0.0000	|	1.7756	0.9090	21.6407	0.0000	|  Best result at epoch 7
20	5.0948	4.9695	|	1.8782	0.9618	24.2553	0.0000	|	1.9293	1.0832	22.0651	0.0000	|  Best result at epoch 7
