epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	51.8826	33.7089	|	4.3985	0.6649	10.5072	0.0000	|	2.2801	0.4507	37.7698	0.0000	|  Best result at epoch 0
1	31.9182	14.6657	|	3.0806	1.0390	27.5362	0.0000	|	3.5963	2.2073	12.9496	0.0000	|  Best result at epoch 1
2	25.9015	16.6422	|	3.0534	0.7876	19.9275	0.0000	|	2.7722	1.5156	11.8705	0.0000	|  Best result at epoch 2
3	22.2690	15.0269	|	3.3417	1.2611	23.1884	0.0000	|	4.1686	2.6829	10.7914	0.0000	|  Best result at epoch 2
4	22.5270	14.9532	|	2.9662	0.9108	23.5507	0.0000	|	3.1234	1.8761	11.8705	0.0000	|  Best result at epoch 4
5	20.9052	15.0580	|	3.3516	1.2790	22.8261	0.0000	|	4.2204	2.7229	10.0719	0.0000	|  Best result at epoch 4
6	21.5888	16.6648	|	3.5941	1.4670	19.2029	0.0000	|	4.7326	3.1143	7.5540	0.0000	|  Best result at epoch 4
7	21.8491	14.4569	|	3.2241	1.1793	27.1739	0.0000	|	3.8936	2.4982	13.3094	0.0000	|  Best result at epoch 4
8	20.6658	14.4579	|	2.9989	0.9875	23.9130	0.0000	|	3.3180	2.0680	12.2302	0.0000	|  Best result at epoch 4
9	21.4522	14.6440	|	3.2690	1.2120	24.2754	0.0000	|	3.9864	2.5661	12.9496	0.0000	|  Best result at epoch 4
10	21.5933	14.6641	|	3.2797	1.2177	25.3623	0.0000	|	3.9818	2.5715	13.6691	0.0000	|  Best result at epoch 4
11	21.1770	15.0434	|	3.3711	1.2958	22.1014	0.0000	|	4.2163	2.7440	10.0719	0.0000	|  Best result at epoch 4
12	20.1820	14.8102	|	3.3268	1.2615	24.2754	0.0000	|	4.1067	2.6675	11.5108	0.0000	|  Best result at epoch 4
13	19.9525	14.4017	|	3.0477	1.0294	23.9130	0.0000	|	3.4443	2.1622	12.2302	0.0000	|  Best result at epoch 4
14	19.8735	14.2658	|	3.0916	1.0807	25.3623	0.0000	|	3.6002	2.2830	12.2302	0.0000	|  Best result at epoch 4
15	19.0693	14.2198	|	3.1543	1.1555	25.3623	0.0000	|	3.8385	2.4568	13.6691	0.0000	|  Best result at epoch 4
