epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	4.0765	2.7940	|	1.4703	0.7650	0.0000	0.0000	|	1.4851	0.7649	0.0000	0.0000	|  Best result at epoch 0
1	2.7188	0.9060	|	0.7759	0.3822	10.9827	0.0000	|	0.7960	0.3855	12.5000	0.0000	|  Best result at epoch 1
2	1.6391	0.8208	|	0.7619	0.3971	2.3121	0.0000	|	0.7832	0.4024	2.8409	0.0000	|  Best result at epoch 2
3	1.4907	0.7522	|	0.7471	0.4115	6.9364	0.0000	|	0.7710	0.4191	5.6818	0.0000	|  Best result at epoch 3
4	1.4606	0.7634	|	0.7495	0.4087	0.5780	0.0000	|	0.7731	0.4162	0.5682	0.0000	|  Best result at epoch 3
5	1.3438	0.9786	|	0.7846	0.3697	41.6185	0.0000	|	0.8036	0.3730	38.0682	0.0000	|  Best result at epoch 3
6	1.2427	0.7481	|	0.7460	0.4126	2.8902	0.0000	|	0.7699	0.4206	1.7045	0.0000	|  Best result at epoch 6
7	1.2293	0.6907	|	0.7306	0.4294	33.5260	0.0000	|	0.7563	0.4392	30.1136	0.0000	|  Best result at epoch 7
8	1.1683	0.7243	|	0.7401	0.4189	27.7457	0.0000	|	0.7646	0.4275	25.0000	0.0000	|  Best result at epoch 7
9	1.1609	0.7011	|	0.7336	0.4258	33.5260	0.0000	|	0.7589	0.4351	29.5455	0.0000	|  Best result at epoch 7
10	1.0357	0.7264	|	0.7290	0.5690	33.5260	0.0000	|	0.7558	0.5843	30.1136	0.0000	|  Best result at epoch 10
11	1.2088	0.6995	|	0.7330	0.4262	33.5260	0.0000	|	0.7586	0.4358	30.1136	0.0000	|  Best result at epoch 10
12	1.0459	0.8096	|	0.7580	0.3985	0.0000	0.0000	|	0.7802	0.4051	0.0000	0.0000	|  Best result at epoch 10
13	1.0902	0.6463	|	0.6710	0.4945	33.5260	0.0000	|	0.7050	0.5114	30.1136	0.0000	|  Best result at epoch 13
