epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	45.6650	11.2024	|	2.7793	0.8906	29.1111	0.0000	|	2.5552	0.8797	28.7611	0.0000	|  Best result at epoch 0
1	25.7087	11.6455	|	2.4065	0.6185	37.1111	0.0000	|	2.0296	0.5809	41.3717	0.0000	|  Best result at epoch 1
2	23.7484	12.1438	|	2.4868	0.6038	37.1111	0.0000	|	2.1056	0.5666	41.3717	0.0000	|  Best result at epoch 1
3	20.9083	10.6773	|	2.5235	0.7666	37.3333	0.0000	|	2.2485	0.7409	42.0354	0.0000	|  Best result at epoch 1
4	21.0109	11.1240	|	2.3278	0.6387	37.1111	0.0000	|	1.9720	0.6014	41.3717	0.0000	|  Best result at epoch 4
5	21.2409	11.1305	|	2.3369	0.6365	37.1111	0.0000	|	1.9801	0.5995	41.3717	0.0000	|  Best result at epoch 4
6	18.9343	10.4920	|	2.5209	0.7802	40.0000	0.0000	|	2.2775	0.7585	42.0354	0.0000	|  Best result at epoch 4
7	20.1882	10.5266	|	2.4138	0.7233	38.8889	0.0000	|	2.1363	0.6954	42.0354	0.0000	|  Best result at epoch 4
8	19.4570	10.3799	|	2.3898	0.7239	37.7778	0.0000	|	2.1317	0.6986	40.7080	0.0000	|  Best result at epoch 4
9	18.9259	12.3988	|	2.4941	0.5899	37.1111	0.0000	|	2.1149	0.5530	41.3717	0.0000	|  Best result at epoch 4
10	18.9485	10.3719	|	2.3341	0.6829	36.8889	0.0000	|	2.0373	0.6518	40.7080	0.0000	|  Best result at epoch 4
11	18.2022	10.1078	|	2.4921	0.8129	36.0000	0.0000	|	2.3425	0.7985	35.6195	0.0000	|  Best result at epoch 4
12	18.1714	10.9170	|	2.3404	0.6387	37.5556	0.0000	|	1.9982	0.6006	41.3717	0.0000	|  Best result at epoch 4
13	18.1029	10.3315	|	2.3202	0.6832	37.3333	0.0000	|	2.0391	0.6494	40.2655	0.0000	|  Best result at epoch 13
14	17.3766	10.1400	|	2.3332	0.7078	37.7778	0.0000	|	2.0883	0.6821	38.7168	0.0000	|  Best result at epoch 13
15	17.5933	10.0684	|	2.4941	0.8288	34.8889	0.0000	|	2.3679	0.8175	33.4071	0.0000	|  Best result at epoch 13
16	16.9864	10.0365	|	2.4415	0.7933	35.5556	0.0000	|	2.2837	0.7792	35.3982	0.0000	|  Best result at epoch 13
17	16.9261	10.3510	|	2.3179	0.6794	37.1111	0.0000	|	2.0350	0.6450	39.8230	0.0000	|  Best result at epoch 17
18	16.1937	11.5819	|	2.3920	0.6167	35.3333	0.0000	|	2.0572	0.5761	44.2478	0.0000	|  Best result at epoch 17
