epoch	loss	v_loss	|	v_mae	v_mmre	v_pr25	v_n/a	|	t_mae	t_mmre	t_pr25	t_n/a
0	8.7600	7.8894	|	2.5707	0.9273	0.0000	0.0000	|	2.6681	0.9240	0.0000	0.0000	|  Best result at epoch 0
1	7.9462	7.2245	|	2.4380	0.8663	0.0000	0.0000	|	2.5353	0.8602	0.0000	0.0000	|  Best result at epoch 1
2	7.2700	6.4673	|	2.2775	0.7927	0.0000	0.0000	|	2.3752	0.7834	0.0000	0.0000	|  Best result at epoch 2
3	6.3618	4.6855	|	1.8522	0.5982	15.6250	0.0000	|	1.9510	0.5804	17.3469	0.0000	|  Best result at epoch 3
4	4.8998	2.2903	|	1.2501	0.4542	9.3750	0.0000	|	1.3704	0.4994	10.2041	0.0000	|  Best result at epoch 4
5	4.5629	3.6915	|	1.6132	0.5196	14.5833	0.0000	|	1.7148	0.5146	21.4286	0.0000	|  Best result at epoch 4
6	4.1086	2.7840	|	1.3960	0.4782	6.2500	0.0000	|	1.5444	0.5044	6.1224	0.0000	|  Best result at epoch 4
7	3.4906	1.6120	|	1.0132	0.4237	22.9167	0.0000	|	1.2123	0.5070	20.4082	0.0000	|  Best result at epoch 7
8	3.4974	1.6562	|	1.0251	0.4217	19.7917	0.0000	|	1.2268	0.5028	15.3061	0.0000	|  Best result at epoch 7
9	3.1659	1.7454	|	1.0500	0.4192	18.7500	0.0000	|	1.2492	0.4956	15.3061	0.0000	|  Best result at epoch 7
10	2.9371	1.2704	|	0.8729	0.4530	56.2500	0.0000	|	1.0900	0.5651	43.8776	0.0000	|  Best result at epoch 10
11	3.2224	1.7587	|	1.0513	0.4178	18.7500	0.0000	|	1.2554	0.4940	15.3061	0.0000	|  Best result at epoch 10
12	2.8149	1.4146	|	0.9556	0.4363	68.7500	0.0000	|	1.1689	0.5317	54.0816	0.0000	|  Best result at epoch 10
13	2.9370	1.5936	|	1.0103	0.4250	19.7917	0.0000	|	1.2194	0.5092	16.3265	0.0000	|  Best result at epoch 10
14	2.4925	1.2731	|	0.8744	0.4526	56.2500	0.0000	|	1.0929	0.5642	43.8776	0.0000	|  Best result at epoch 10
15	2.8360	1.3014	|	0.8987	0.4478	62.5000	0.0000	|	1.1180	0.5546	46.9388	0.0000	|  Best result at epoch 10
16	2.7322	1.6220	|	1.0170	0.4236	18.7500	0.0000	|	1.2250	0.5065	15.3061	0.0000	|  Best result at epoch 10
17	2.8406	1.6989	|	1.0359	0.4200	18.7500	0.0000	|	1.2414	0.4992	15.3061	0.0000	|  Best result at epoch 10
18	2.4973	1.7610	|	1.0561	0.4199	18.7500	0.0000	|	1.2482	0.4963	15.3061	0.0000	|  Best result at epoch 10
19	2.0937	1.8787	|	1.1019	0.4248	18.7500	0.0000	|	1.2771	0.4938	15.3061	0.0000	|  Best result at epoch 10
20	2.5606	1.5500	|	0.9956	0.4276	36.4583	0.0000	|	1.1962	0.5148	34.6939	0.0000	|  Best result at epoch 10
21	2.2760	1.2630	|	0.8435	0.4577	56.2500	0.0000	|	1.0549	0.5748	43.8776	0.0000	|  Best result at epoch 21
22	2.2841	1.2692	|	0.8588	0.4543	58.3333	0.0000	|	1.0693	0.5680	42.8571	0.0000	|  Best result at epoch 21
23	2.0738	1.5183	|	0.9835	0.4296	44.7917	0.0000	|	1.1770	0.5197	38.7755	0.0000	|  Best result at epoch 21
24	2.2106	1.2567	|	0.8317	0.4602	55.2083	0.0000	|	1.0422	0.5800	42.8571	0.0000	|  Best result at epoch 24
25	2.6822	1.4419	|	0.9576	0.4341	54.1667	0.0000	|	1.1592	0.5284	45.9184	0.0000	|  Best result at epoch 24
26	2.3122	1.5894	|	1.0050	0.4264	34.3750	0.0000	|	1.1952	0.5130	33.6735	0.0000	|  Best result at epoch 24
27	2.2768	1.3661	|	0.9148	0.4413	53.1250	0.0000	|	1.1010	0.5444	42.8571	0.0000	|  Best result at epoch 24
28	2.2058	1.3349	|	0.8996	0.4436	56.2500	0.0000	|	1.0942	0.5490	42.8571	0.0000	|  Best result at epoch 24
29	2.0920	1.3166	|	0.8432	0.4999	53.1250	0.0000	|	1.0612	0.6371	40.8163	0.0000	|  Best result at epoch 24
30	1.9606	1.3182	|	0.8951	0.4453	58.3333	0.0000	|	1.0992	0.5520	42.8571	0.0000	|  Best result at epoch 24
31	1.9252	1.2737	|	0.8584	0.4527	60.4167	0.0000	|	1.0684	0.5670	44.8980	0.0000	|  Best result at epoch 24
32	2.0329	1.2955	|	0.8759	0.4493	58.3333	0.0000	|	1.0806	0.5604	43.8776	0.0000	|  Best result at epoch 24
33	1.6851	1.3086	|	0.8843	0.4473	58.3333	0.0000	|	1.0861	0.5570	42.8571	0.0000	|  Best result at epoch 24
34	1.8192	1.2676	|	0.8395	0.4576	58.3333	0.0000	|	1.0446	0.5774	42.8571	0.0000	|  Best result at epoch 24
35	2.0142	1.3492	|	0.9098	0.4423	58.3333	0.0000	|	1.1076	0.5468	42.8571	0.0000	|  Best result at epoch 24
36	2.0423	1.6745	|	1.0291	0.4249	25.0000	0.0000	|	1.2143	0.5071	28.5714	0.0000	|  Best result at epoch 24
37	1.7331	1.2651	|	0.8267	0.4637	55.2083	0.0000	|	1.0384	0.5876	41.8367	0.0000	|  Best result at epoch 37
38	1.6397	1.2887	|	0.8344	0.4879	54.1667	0.0000	|	1.0503	0.6212	41.8367	0.0000	|  Best result at epoch 37
39	1.8395	1.3490	|	0.9037	0.4432	57.2917	0.0000	|	1.1023	0.5487	40.8163	0.0000	|  Best result at epoch 37
40	1.7510	1.4390	|	0.9413	0.4397	54.1667	0.0000	|	1.1236	0.5395	40.8163	0.0000	|  Best result at epoch 37
41	1.7303	1.2868	|	0.8574	0.4531	58.3333	0.0000	|	1.0618	0.5675	42.8571	0.0000	|  Best result at epoch 37
42	1.6385	1.3926	|	0.9319	0.4393	58.3333	0.0000	|	1.1276	0.5394	42.8571	0.0000	|  Best result at epoch 37
43	1.6513	1.3560	|	0.9131	0.4425	60.4167	0.0000	|	1.1144	0.5450	41.8367	0.0000	|  Best result at epoch 37
44	1.8120	1.2784	|	0.8642	0.4506	61.4583	0.0000	|	1.0783	0.5614	45.9184	0.0000	|  Best result at epoch 37
45	1.5145	1.3395	|	0.8463	0.5169	53.1250	0.0000	|	1.0694	0.6556	39.7959	0.0000	|  Best result at epoch 37
46	1.6645	1.2541	|	0.8201	0.4610	55.2083	0.0000	|	1.0368	0.5815	40.8163	0.0000	|  Best result at epoch 46
47	1.5858	1.2680	|	0.8320	0.4581	58.3333	0.0000	|	1.0399	0.5760	41.8367	0.0000	|  Best result at epoch 46
48	1.6445	1.3165	|	0.8874	0.4464	58.3333	0.0000	|	1.0923	0.5535	43.8776	0.0000	|  Best result at epoch 46
49	1.5351	1.2709	|	0.8191	0.4754	54.1667	0.0000	|	1.0383	0.6044	40.8163	0.0000	|  Best result at epoch 49
50	1.6648	1.2733	|	0.8403	0.4561	58.3333	0.0000	|	1.0441	0.5725	41.8367	0.0000	|  Best result at epoch 49
51	1.4206	1.2589	|	0.8328	0.4575	57.2917	0.0000	|	1.0439	0.5748	42.8571	0.0000	|  Best result at epoch 49
52	1.6033	1.2615	|	0.8314	0.4584	56.2500	0.0000	|	1.0436	0.5775	42.8571	0.0000	|  Best result at epoch 49
53	1.5716	1.3009	|	0.8202	0.4906	53.1250	0.0000	|	1.0531	0.6288	39.7959	0.0000	|  Best result at epoch 49
54	1.4031	1.2767	|	0.8463	0.4552	59.3750	0.0000	|	1.0501	0.5719	42.8571	0.0000	|  Best result at epoch 49
55	1.6340	1.3862	|	0.9019	0.4451	55.2083	0.0000	|	1.0864	0.5529	41.8367	0.0000	|  Best result at epoch 49
56	1.4797	1.4308	|	0.9281	0.4393	56.2500	0.0000	|	1.1134	0.5409	40.8163	0.0000	|  Best result at epoch 49
57	1.3127	1.3566	|	0.8618	0.5231	52.0833	0.0000	|	1.0832	0.6670	40.8163	0.0000	|  Best result at epoch 49
58	1.4593	1.3385	|	0.8651	0.4565	50.0000	0.0000	|	1.0432	0.5755	38.7755	0.0000	|  Best result at epoch 49
59	1.3975	1.3227	|	0.8477	0.4927	57.2917	0.0000	|	1.0514	0.6282	40.8163	0.0000	|  Best result at epoch 49
60	1.4802	1.3838	|	0.8925	0.4470	51.0417	0.0000	|	1.0618	0.5570	38.7755	0.0000	|  Best result at epoch 49
61	1.2994	1.4173	|	0.8952	0.5283	54.1667	0.0000	|	1.0983	0.6754	40.8163	0.0000	|  Best result at epoch 49
62	1.2383	1.3571	|	0.8713	0.4560	50.0000	0.0000	|	1.0368	0.5748	37.7551	0.0000	|  Best result at epoch 49
63	1.3463	1.4248	|	0.8938	0.5248	53.1250	0.0000	|	1.0938	0.6712	40.8163	0.0000	|  Best result at epoch 49
64	1.4577	1.3418	|	0.8783	0.4504	53.1250	0.0000	|	1.0534	0.5647	37.7551	0.0000	|  Best result at epoch 49
